Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	03:00:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	03:00:00:000	3.13512e-308	26.4	11.9462	0.0397211	93.9885	-680.423	26.0013	29.7632	29.7803	36.5763	250
DATA	2015-12-01	03:01:00:000	3.13512e-308	26.4	11.9469	0.0993028	94.1035	-626.204	26.0553	29.7597	29.7806	36.3371	  2
DATA	2015-12-01	03:02:00:000	3.13512e-308	26.6	11.9451	0.139024	94.0024	-698.297	26.0318	29.7608	29.7799	36.3331	209
DATA	2015-12-01	03:03:00:000	3.13512e-308	26.4	11.9449	0.178745	93.2283	-630.771	25.925	29.7635	29.7792	36.4101	163
DATA	2015-12-01	03:04:00:000	3.13512e-308	26.6	11.9497	0.178745	93.2322	-682.21	25.8411	29.7611	29.7744	36.3959	167
DATA	2015-12-01	03:05:00:000	3.13512e-308	26.4	11.9451	0.139024	93.6771	-655.796	25.9059	29.7577	29.772	36.3533	176
DATA	2015-12-01	03:06:00:000	3.13512e-308	26.4	11.9499	0.0993028	93.7832	-725.308	25.9142	29.7539	29.7714	36.4729	 29
DATA	2015-12-01	03:07:00:000	3.13512e-308	26.6	11.9524	0.139024	93.9846	-687.771	25.9644	29.7526	29.7707	36.4871	238
DATA	2015-12-01	03:08:00:000	3.13512e-308	26.4	11.9446	0.139024	94.216	-725.308	25.9949	29.7509	29.77	36.3574	 69
DATA	2015-12-01	03:09:00:000	3.13512e-308	26.4	11.946	0.0794423	94.2236	-655.995	25.9936	29.7522	29.77	36.4384	133
DATA	2015-12-01	03:10:00:000	3.13512e-308	26.4	11.9504	0.119163	94.1626	-665.726	25.9879	29.7491	29.7693	36.3675	231
DATA	2015-12-01	03:11:00:000	3.13512e-308	26.4	11.946	0.0595817	94.1035	-639.907	25.9663	29.7505	29.7714	36.4688	229
DATA	2015-12-01	03:12:00:000	3.13512e-308	26.4	11.9449	0.119163	94.0177	-629.977	25.9574	29.7519	29.7693	36.4709	241
DATA	2015-12-01	03:13:00:000	3.13512e-308	26.4	11.9458	0.0397211	93.8474	-664.535	25.9352	29.7529	29.7697	36.3473	 28
DATA	2015-12-01	03:14:00:000	3.13512e-308	26.6	11.9497	0.158885	93.8232	-671.287	25.9307	29.7512	29.7707	36.2682	233
DATA	2015-12-01	03:15:00:000	3.13512e-308	26.6	11.9465	0.0397211	93.5684	-636.531	25.892	29.7515	29.7683	36.248	172
DATA	2015-12-01	03:16:00:000	3.13512e-308	26.4	11.9476	0.158885	93.3879	-638.12	25.8665	29.7478	29.7649	36.3067	203
DATA	2015-12-01	03:17:00:000	3.13512e-308	26.4	11.9469	0.158885	93.2767	-671.685	25.8386	29.7266	29.7635	36.3554	253
DATA	2015-12-01	03:18:00:000	3.13512e-308	26.4	11.9444	0.0794423	93.698	-705.845	25.925	29.7365	29.7642	36.3979	190
DATA	2015-12-01	03:19:00:000	3.13512e-308	26.4	11.9465	0.139024	94.0444	-722.13	25.9809	29.743	29.7645	36.1993	112
DATA	2015-12-01	03:20:00:000	3.13512e-308	26.4	11.9449	0.0397211	93.991	-773.569	25.9619	29.745	29.7642	36.327	126
DATA	2015-12-01	03:21:00:000	3.13512e-308	26.4	11.9472	0.0198606	93.9338	-769.597	25.9619	29.7454	29.7652	36.3067	 37
DATA	2015-12-01	03:22:00:000	3.13512e-308	26.4	11.9451	0.0993028	93.8404	-775.158	25.9231	29.7437	29.7652	36.3148	 10
DATA	2015-12-01	03:23:00:000	3.13512e-308	26.4	11.9474	0.0595817	93.9872	-699.886	25.953	29.7341	29.7649	36.3047	251
DATA	2015-12-01	03:24:00:000	3.13512e-308	26.4	11.9462	0.0794423	94.1448	-642.489	25.946	29.7361	29.7652	36.2236	219
DATA	2015-12-01	03:25:00:000	3.13512e-308	26.4	11.9476	0.119163	93.9713	-628.189	25.9263	29.7293	29.7642	36.1953	229
DATA	2015-12-01	03:26:00:000	3.13512e-308	26.4	11.946	0.119163	93.8969	-645.667	25.8989	29.7139	29.7638	36.1932	202
DATA	2015-12-01	03:27:00:000	3.13512e-308	26.4	11.9478	0.139024	93.7896	-656.59	25.897	29.718	29.7618	36.1872	 96
DATA	2015-12-01	03:28:00:000	3.13512e-308	26.4	11.946	0.218466	93.6796	-668.507	25.8506	29.7057	29.7574	36.404	132
DATA	2015-12-01	03:29:00:000	3.13512e-308	26.4	11.9481	0.0794423	93.6853	-679.033	25.8373	29.7122	29.758	36.2398	230
