Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	10:00:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	10:00:00:000	3.13512e-308	32.5	11.9517	537.725	77.1976	7843.93	28.0719	30.2316	30.1443	36.1872	103
DATA	2015-12-02	10:01:00:000	3.13512e-308	32.8	11.9513	335.624	77.3361	4814.4	28.068	30.2621	30.1647	36.1405	228
DATA	2015-12-02	10:02:00:000	3.13512e-308	32.8	11.9497	293.142	77.4626	3601.91	28.0185	30.2767	30.1702	36.0656	 92
DATA	2015-12-02	10:03:00:000	3.13512e-308	32.8	11.9504	413.06	78.3777	4693.25	27.9174	30.2687	30.1519	36.0412	 46
DATA	2015-12-02	10:04:00:000	3.13512e-308	32.8	11.9446	655.955	77.9926	8051.27	27.8907	30.2576	30.1498	36.3311	123
DATA	2015-12-02	10:05:00:000	3.13512e-308	32.8	11.9455	703.998	78.583	9728.9	27.981	30.31	30.1536	36.2236	120
DATA	2015-12-02	10:06:00:000	3.13512e-308	32.8	11.9444	669.559	78.3085	9312.22	28.2943	30.342	30.1464	36.1466	 53
DATA	2015-12-02	10:07:00:000	3.13512e-308	32.8	11.9455	627.415	77.4759	8660	28.5015	30.366	30.1491	36.1608	161
DATA	2015-12-02	10:08:00:000	3.13512e-308	33.1	11.9442	575.639	77.9348	7992.69	28.7017	30.3674	30.1502	36.2398	126
DATA	2015-12-02	10:09:00:000	3.13512e-308	33.1	11.9497	571.408	78.8823	7468.57	28.8084	30.3535	30.1692	36.327	 73
DATA	2015-12-02	10:10:00:000	3.13512e-308	33.1	11.9492	564.397	79.9659	7425.87	28.6737	30.365	30.1702	36.3473	 72
DATA	2015-12-02	10:11:00:000	3.13512e-308	33.1	11.9494	560.465	80.2049	7416.13	28.4608	30.3633	30.1616	36.5297	 88
DATA	2015-12-02	10:12:00:000	3.13512e-308	33.1	11.9483	558.856	80.2863	7472.93	28.2924	30.326	30.1529	36.6208	 55
DATA	2015-12-02	10:13:00:000	3.13512e-308	33.1	11.9501	558.678	79.999	7493.79	28.2676	30.3539	30.1509	36.6026	 81
DATA	2015-12-02	10:14:00:000	3.13512e-308	33.1	11.9501	557.248	80.2068	7529.14	28.2237	30.3285	30.1553	36.5742	 86
DATA	2015-12-02	10:15:00:000	3.13512e-308	33.4	11.9504	557.407	81.5605	7621.09	28.1437	30.3257	30.1561	36.5905	 88
DATA	2015-12-02	10:16:00:000	3.13512e-308	33.4	11.9497	559.988	81.1639	7400.84	28.2231	30.3198	30.1606	36.5985	122
DATA	2015-12-02	10:17:00:000	3.13512e-308	33.4	11.9499	567.734	80.3746	7382.96	28.1405	30.3382	30.1567	36.4567	123
DATA	2015-12-02	10:18:00:000	3.13512e-308	33.4	11.9499	564.338	80.6377	7608.58	28.0496	30.3504	30.1675	36.5601	118
DATA	2015-12-02	10:19:00:000	3.13512e-308	33.4	11.9499	561.418	80.5532	8262.59	27.9753	30.3553	30.1678	36.6188	127
DATA	2015-12-02	10:20:00:000	3.13512e-308	33.4	11.9455	556.572	80.4051	8717.8	27.9683	30.333	30.1848	36.6573	  6
DATA	2015-12-02	10:21:00:000	3.13512e-308	33.6	11.9492	560.564	80.857	8595.85	27.9403	30.3389	30.1779	36.6776	 85
DATA	2015-12-02	10:22:00:000	3.13512e-308	33.6	11.9492	544.696	81.4372	8232.01	28.0223	30.3674	30.1772	36.631	 33
DATA	2015-12-02	10:23:00:000	3.13512e-308	33.6	11.9494	548.847	81.1373	7446.32	28.0598	30.3869	30.1792	36.6391	126
DATA	2015-12-02	10:24:00:000	3.13512e-308	33.6	11.9465	557.426	80.1312	7502.33	28.0738	30.3779	30.1803	36.7222	 87
DATA	2015-12-02	10:25:00:000	3.13512e-308	33.9	11.9497	548.39	80.1642	7382.96	28.1043	30.4075	30.181	36.8863	 11
DATA	2015-12-02	10:26:00:000	3.13512e-308	33.9	11.9492	557.168	80.8595	7381.58	28.1475	30.3654	30.1851	36.9188	134
DATA	2015-12-02	10:27:00:000	3.13512e-308	33.9	11.9492	564.04	80.8315	7534.3	28.1443	30.4284	30.1914	36.9877	  6
DATA	2015-12-02	10:28:00:000	3.13512e-308	33.9	11.9494	558.737	81.9418	7544.63	28.1621	30.4309	30.1921	36.9451	116
DATA	2015-12-02	10:29:00:000	3.13512e-308	33.9	11.9494	561.299	81.64	7244.74	28.1163	30.4128	30.1924	36.939	218
