Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	08:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	08:30:00:000	3.13512e-308	26.9	11.9492	200.592	82.6467	2424.97	28.1723	29.5388	29.6276	36.5641	131
DATA	2015-12-01	08:31:00:000	3.13512e-308	27.2	11.9492	203.591	82.1528	2397.17	28.11	29.5483	29.627	36.5681	217
DATA	2015-12-01	08:32:00:000	3.13512e-308	27.2	11.9485	208.536	82.8386	2148.12	28.0077	29.5568	29.6266	36.6695	137
DATA	2015-12-01	08:33:00:000	3.13512e-308	27.5	11.9451	215.686	83.5885	2350.5	27.9841	29.5694	29.6252	36.7303	 78
DATA	2015-12-01	08:34:00:000	3.13512e-308	27.5	11.9492	222.935	83.5262	2577.3	28.0115	29.5902	29.6137	36.7971	 68
DATA	2015-12-01	08:35:00:000	3.13512e-308	27.5	11.9492	230.74	81.6946	2828.34	28.1456	29.5994	29.6089	36.8782	100
DATA	2015-12-01	08:36:00:000	3.13512e-308	27.8	11.9492	237.175	80.993	2962.2	28.1685	29.5824	29.612	36.7728	243
DATA	2015-12-01	08:37:00:000	3.13512e-308	27.8	11.9465	242.954	80.9891	3023.57	28.1322	29.567	29.6188	36.7769	 96
DATA	2015-12-01	08:38:00:000	3.13512e-308	27.8	11.9488	226.232	81.5865	3040.06	27.9937	29.5677	29.6229	36.7384	147
DATA	2015-12-01	08:39:00:000	3.13512e-308	28	11.9494	154.615	81.0089	2694.88	27.9123	29.5694	29.6208	36.7566	 51
DATA	2015-12-01	08:40:00:000	3.13512e-308	28	11.9492	82.6398	80.2704	2829.14	27.8831	29.5691	29.6205	36.7911	 32
DATA	2015-12-01	08:41:00:000	3.13512e-308	28	11.9492	71.1008	79.7791	3044.23	27.8983	29.5711	29.6218	36.7992	 37
DATA	2015-12-01	08:42:00:000	3.13512e-308	28.3	11.9485	71.8357	79.7842	3478.97	28.0363	29.581	29.6252	36.9228	 99
DATA	2015-12-01	08:43:00:000	3.13512e-308	28.6	11.9499	72.3521	79.0228	3883.93	28.396	29.5871	29.6252	36.9552	 97
DATA	2015-12-01	08:44:00:000	3.13512e-308	28.6	11.9465	72.8088	78.972	3711.14	28.478	29.5881	29.6242	36.858	253
DATA	2015-12-01	08:45:00:000	3.13512e-308	28.9	11.9451	73.921	79.9659	3714.12	28.2638	29.5912	29.6263	36.7728	 95
DATA	2015-12-01	08:46:00:000	3.13512e-308	28.9	11.9483	75.9468	81.1665	3928.82	27.9231	29.5994	29.6263	36.8458	168
DATA	2015-12-01	08:47:00:000	3.13512e-308	28.9	11.9515	78.5485	82.3168	3847.59	27.7204	29.6178	29.6293	36.8154	157
DATA	2015-12-01	08:48:00:000	3.13512e-308	29.2	11.9476	81.5673	83.2408	3782.64	27.627	29.6205	29.6314	36.7971	 87
DATA	2015-12-01	08:49:00:000	3.13512e-308	29.2	11.9506	84.9635	82.442	4028.71	27.5571	29.6379	29.6327	36.9451	 88
DATA	2015-12-01	08:50:00:000	3.13512e-308	29.4	11.9474	103.533	83.0095	3789	27.5482	29.6464	29.6368	36.9127	239
DATA	2015-12-01	08:51:00:000	3.13512e-308	29.4	11.9504	200.532	83.1151	4103.19	27.6085	29.6423	29.6355	36.9796	105
DATA	2015-12-01	08:52:00:000	3.13512e-308	29.7	11.946	308.911	82.6352	5021.94	27.5933	29.6586	29.6379	37.0099	 87
DATA	2015-12-01	08:53:00:000	3.13512e-308	29.7	11.9506	335.882	82.1534	5096.22	27.6136	29.6685	29.6385	37.0991	138
DATA	2015-12-01	08:54:00:000	3.13512e-308	29.7	11.9488	341.463	81.5472	4745.68	27.5749	29.6702	29.6399	36.8762	161
DATA	2015-12-01	08:55:00:000	3.13512e-308	30	11.9506	347.103	80.4922	4141.52	27.5704	29.6754	29.6409	36.8985	 19
DATA	2015-12-01	08:56:00:000	3.13512e-308	30	11.9455	352.148	80.3434	4798.71	27.4999	29.6866	29.642	36.9086	  1
DATA	2015-12-01	08:57:00:000	3.13512e-308	30.3	11.9513	357.391	80.9072	4554.43	27.5018	29.6935	29.6457	36.9897	140
DATA	2015-12-01	08:58:00:000	3.13512e-308	30.3	11.9451	363.19	81.0273	4884.91	27.5424	29.6972	29.6481	37.1214	 67
DATA	2015-12-01	08:59:00:000	3.13512e-308	30.3	11.9497	366.984	81.0794	4847.77	27.6149	29.6955	29.6464	37.014	107
