Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	21:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	21:30:00:000	2.85604e-308	27.8	11.9348	-0.198606	84.8571	-28.608	27.7496	30.252	30.2975	36.787	128
DATA	2015-12-02	21:31:00:000	2.85604e-308	27.8	11.9362	-0.178745	84.5653	-28.0823	27.8017	30.2382	30.3003	36.8823	246
DATA	2015-12-02	21:32:00:000	2.85604e-308	27.8	11.9314	-0.178745	86.0894	-26.768	27.6867	30.2486	30.2972	36.7282	234
DATA	2015-12-02	21:33:00:000	2.85604e-308	27.8	11.9373	-0.238327	86.7662	-23.8765	27.5672	30.2545	30.2975	36.8113	 13
DATA	2015-12-02	21:34:00:000	2.85604e-308	27.8	11.9343	-0.198606	85.8802	-24.8987	27.5386	30.2524	30.2965	36.8823	 25
DATA	2015-12-02	21:35:00:000	2.85604e-308	27.8	11.9375	-0.258187	86.3792	-24.8841	27.578	30.2548	30.2961	36.8823	233
DATA	2015-12-02	21:36:00:000	2.85604e-308	27.8	11.9375	-0.178745	85.579	-26.5343	27.5717	30.2427	30.2968	36.8417	232
DATA	2015-12-02	21:37:00:000	2.85604e-308	27.8	11.9375	-0.198606	86.0519	-28.3305	27.6384	30.2496	30.2979	36.8762	 28
DATA	2015-12-02	21:38:00:000	2.85604e-308	27.8	11.938	-0.238327	86.069	-28.8416	27.5818	30.2503	30.3006	36.787	111
DATA	2015-12-02	21:39:00:000	2.85604e-308	27.8	11.9375	-0.198606	87.4589	-30.7693	27.4261	30.2364	30.3017	36.6452	 13
DATA	2015-12-02	21:40:00:000	2.85604e-308	27.8	11.9318	-0.238327	88.0538	-28.5934	27.2069	30.2385	30.3003	36.6553	251
DATA	2015-12-02	21:41:00:000	2.85604e-308	27.8	11.938	-0.278048	88.8984	-29.3966	27.1325	30.2559	30.2982	36.7181	234
DATA	2015-12-02	21:42:00:000	2.85604e-308	27.8	11.9378	-0.198606	89.1456	-29.4404	27.0995	30.2385	30.2975	36.6776	 31
DATA	2015-12-02	21:43:00:000	2.85604e-308	27.8	11.938	-0.258187	89.4247	-31.1344	27.1014	30.2479	30.2954	36.6978	216
DATA	2015-12-02	21:44:00:000	2.85604e-308	27.8	11.9394	-0.258187	88.7751	-35.0773	27.0696	30.2479	30.2961	36.6877	 36
DATA	2015-12-02	21:45:00:000	2.85604e-308	27.8	11.9362	-0.218466	88.8171	-36.9465	27.0671	30.2569	30.2972	37.1072	 11
DATA	2015-12-02	21:46:00:000	2.85604e-308	27.8	11.9371	-0.218466	88.1752	-35.2233	27.0931	30.2583	30.2972	38.1651	250
DATA	2015-12-02	21:47:00:000	2.85604e-308	27.8	11.9318	-0.278048	87.2975	-40.203	27.2469	30.2527	30.2951	38.3556	213
DATA	2015-12-02	21:48:00:000	2.85604e-308	27.8	11.9375	-0.238327	87.8765	-40.6703	27.2901	30.2531	30.2934	38.2523	255
DATA	2015-12-02	21:49:00:000	2.85604e-308	27.8	11.9389	-0.278048	87.8536	-40.904	27.1878	30.2448	30.2923	38.1692	233
DATA	2015-12-02	21:50:00:000	2.85604e-308	27.8	11.9387	-0.178745	87.6146	-38.8887	27.156	30.2503	30.2934	38.1975	232
DATA	2015-12-02	21:51:00:000	2.85604e-308	27.8	11.9325	-0.158885	86.3423	-39.911	27.2755	30.251	30.2934	38.0678	159
DATA	2015-12-02	21:52:00:000	2.85604e-308	27.8	11.9396	-0.238327	86.6028	-40.685	27.3372	30.2548	30.2965	37.9868	230
DATA	2015-12-02	21:53:00:000	2.85604e-308	27.8	11.9387	-0.238327	87.7443	-39.6335	27.3315	30.2579	30.2979	37.7395	 31
DATA	2015-12-02	21:54:00:000	2.85604e-308	27.8	11.9391	-0.258187	87.8816	-40.3929	27.1751	30.2496	30.3003	37.391	212
DATA	2015-12-02	21:55:00:000	2.85604e-308	27.8	11.9316	-0.238327	88.6703	-38.9618	27.123	30.2645	30.301	37.168	 98
DATA	2015-12-02	21:56:00:000	2.85604e-308	27.8	11.9364	-0.238327	88.5768	-38.7573	27.0601	30.2597	30.3045	37.0809	 15
DATA	2015-12-02	21:57:00:000	2.85604e-308	27.8	11.9348	-0.119163	89.6973	-36.7128	27.027	30.2583	30.3066	37.0464	213
DATA	2015-12-02	21:58:00:000	2.85604e-308	27.8	11.9396	-0.297909	89.8187	-34.0988	26.9743	30.2565	30.3073	37.0565	 41
DATA	2015-12-02	21:59:00:000	2.85604e-308	27.8	11.9325	-0.218466	89.4215	-35.4277	26.9552	30.2565	30.3031	37.0485	  2
