Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	14:00:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	14:00:00:000	3.13512e-308	30.8	11.9444	329.666	78.9879	3654.74	28.15	30.3845	30.4127	38.7245	 20
DATA	2015-12-01	14:01:00:000	3.13512e-308	30.8	11.9508	340.231	79.9088	4090.88	28.1322	30.3559	30.4072	38.6393	 98
DATA	2015-12-01	14:02:00:000	3.13512e-308	30.8	11.9504	418.065	81.0388	4742.7	28.1723	30.3587	30.3901	38.3333	 37
DATA	2015-12-01	14:03:00:000	3.13512e-308	30.8	11.9499	261.782	80.6848	3092.89	28.1233	30.3587	30.3758	38.153	 69
DATA	2015-12-01	14:04:00:000	3.13512e-308	30.8	11.9481	259.18	81.6165	2866.08	28.1475	30.3372	30.3699	38.1793	 67
DATA	2015-12-01	14:05:00:000	3.13512e-308	30.8	11.9508	243.61	82.0486	2443.05	28.2079	30.3462	30.373	38.1306	233
DATA	2015-12-01	14:06:00:000	3.13512e-308	30.8	11.9497	220.949	81.0731	2028.36	28.2199	30.3438	30.372	37.9929	 61
DATA	2015-12-01	14:07:00:000	3.13512e-308	30.8	11.9506	204.604	81.3286	1968.38	28.1735	30.3219	30.3653	37.926	 50
DATA	2015-12-01	14:08:00:000	3.13512e-308	30.8	11.9483	202.975	80.1458	1939.38	28.124	30.3326	30.3566	37.6929	 62
DATA	2015-12-01	14:09:00:000	3.13512e-308	30.8	11.9506	216.401	80.8531	2197.57	28.1106	30.3281	30.3518	37.7578	 92
DATA	2015-12-01	14:10:00:000	3.13512e-308	30.8	11.9504	238.089	81.1105	2402.13	28.0833	30.2975	30.3445	37.8388	 84
DATA	2015-12-01	14:11:00:000	3.13512e-308	30.8	11.9506	281.345	80.0574	2868.66	28.0865	30.2961	30.3253	37.7517	102
DATA	2015-12-01	14:12:00:000	3.13512e-308	30.8	11.9506	375.861	79.9628	4019.98	28.0534	30.2736	30.3024	37.7233	106
DATA	2015-12-01	14:13:00:000	3.13512e-308	30.8	11.9497	463.109	81.2872	5390.75	28.0935	30.2555	30.2704	37.776	 59
DATA	2015-12-01	14:14:00:000	3.13512e-308	30.8	11.9506	545.232	80.6352	6484.67	28.1843	30.2465	30.2357	37.8814	103
DATA	2015-12-01	14:15:00:000	3.13512e-308	30.6	11.9501	552.978	79.5713	6268.59	28.1729	30.2427	30.2045	37.8773	120
DATA	2015-12-01	14:16:00:000	3.13512e-308	30.8	11.9485	897.36	80.7858	10355.1	28.1831	30.2437	30.1792	38.1144	 55
DATA	2015-12-01	14:17:00:000	3.13512e-308	30.6	11.9453	594.883	80.1617	8733.09	28.2009	30.269	30.164	38.1469	  8
DATA	2015-12-01	14:18:00:000	3.13512e-308	30.6	11.951	702.448	80.0015	8128.33	28.2161	30.277	30.1495	38.0678	240
DATA	2015-12-01	14:19:00:000	3.13512e-308	30.6	11.9499	522.393	80.8334	7188.73	28.2543	30.2791	30.1142	38.0759	113
DATA	2015-12-01	14:20:00:000	3.13512e-308	30.8	11.9501	448.988	79.8192	5589.56	28.199	30.2388	30.0952	38.1428	 83
DATA	2015-12-01	14:21:00:000	3.13512e-308	30.8	11.9488	494.806	79.8477	5638.81	28.2047	30.2527	30.1007	38.0962	118
DATA	2015-12-01	14:22:00:000	3.13512e-308	30.8	11.9497	825.405	79.4493	8782.54	28.2333	30.2385	30.0855	38.0901	112
DATA	2015-12-01	14:23:00:000	3.13512e-308	30.8	11.9497	991.162	78.9942	12229.7	28.2511	30.2146	30.0721	38.1833	 99
DATA	2015-12-01	14:24:00:000	3.13512e-308	30.6	11.9504	955.015	79.9196	11862.7	28.2867	30.252	30.0534	38.1692	 55
DATA	2015-12-01	14:25:00:000	3.13512e-308	30.8	11.9504	595.618	79.1251	7530.33	28.2848	30.2298	30.0059	38.1428	105
DATA	2015-12-01	14:26:00:000	3.13512e-308	30.8	11.9453	553.236	78.6091	7610.37	28.2129	30.2774	29.9821	38.2259	116
DATA	2015-12-01	14:27:00:000	3.13512e-308	30.8	11.9504	429.604	80.0963	4706.56	28.26	30.2184	29.9707	38.2705	  6
DATA	2015-12-01	14:28:00:000	3.13512e-308	30.8	11.9472	517.109	79.4111	5500.38	28.286	30.1831	29.9604	38.6393	 56
DATA	2015-12-01	14:29:00:000	3.13512e-308	30.8	11.9506	513.535	78.9173	7082.68	28.2561	30.281	29.9563	38.692	 24
