Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	14:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	14:30:00:000	3.13512e-308	30.8	11.9467	357.907	77.915	4832.27	28.2428	30.3786	29.9573	38.767	 39
DATA	2015-12-01	14:31:00:000	3.13512e-308	30.8	11.9504	366.725	79.1887	4406.07	28.2568	30.3403	29.957	38.7893	 79
DATA	2015-12-01	14:32:00:000	3.13512e-308	30.8	11.946	829.794	78.4451	9222.25	28.3032	30.259	29.9752	38.8825	 24
DATA	2015-12-01	14:33:00:000	3.13512e-308	30.8	11.9458	876.01	78.6733	10770.4	28.3489	30.2011	29.9725	38.7994	 75
DATA	2015-12-01	14:34:00:000	3.13512e-308	30.8	11.9462	925.482	79.04	11147.9	28.3775	30.2097	29.958	38.8238	232
DATA	2015-12-01	14:35:00:000	3.13512e-308	30.8	11.9506	893.249	78.0555	10861.5	28.5078	30.2486	29.9491	38.767	 85
DATA	2015-12-01	14:36:00:000	3.13512e-308	30.8	11.9465	911.521	78.1121	11060.4	28.5854	30.3661	29.948	38.8947	 59
DATA	2015-12-01	14:37:00:000	3.13512e-308	30.8	11.9508	871.561	76.7717	10576.7	28.5371	30.3549	29.9456	38.8582	141
DATA	2015-12-01	14:38:00:000	3.13512e-308	30.8	11.9458	888.721	77.277	10894.3	28.6019	30.3664	29.9442	39.0568	 88
DATA	2015-12-01	14:39:00:000	3.13512e-308	30.8	11.9462	857.698	77.0978	10473.7	28.5631	30.3348	29.9442	39.0771	140
DATA	2015-12-01	14:40:00:000	3.13512e-308	30.8	11.946	531.508	77.087	7898.15	28.4513	30.449	29.9432	39.3405	221
DATA	2015-12-01	14:41:00:000	3.13512e-308	30.8	11.9504	264.344	78.5582	3198.35	28.4494	30.478	29.9446	39.3506	 76
DATA	2015-12-01	14:42:00:000	3.13512e-308	30.8	11.9465	261.226	79.3533	2845.62	28.4405	30.4124	29.9456	39.3811	104
DATA	2015-12-01	14:43:00:000	3.13512e-308	30.8	11.9506	275.963	78.7349	2825.36	28.4837	30.4438	29.9463	39.2899	151
DATA	2015-12-01	14:44:00:000	3.13512e-308	30.8	11.9465	278.167	77.4822	3256.74	28.422	30.4445	29.9487	39.4196	 82
DATA	2015-12-01	14:45:00:000	3.13512e-308	30.8	11.9508	268.058	78.3943	2974.12	28.4322	30.2993	29.9487	39.4277	138
DATA	2015-12-01	14:46:00:000	3.13512e-308	30.8	11.9462	298.465	77.1607	3364.58	28.3953	30.3323	29.948	39.4256	 80
DATA	2015-12-01	14:47:00:000	3.13512e-308	30.8	11.9513	343.906	78.3491	3918.49	28.4049	30.3325	29.9491	39.5189	133
DATA	2015-12-01	14:48:00:000	3.13512e-308	30.8	11.9465	466.962	77.6068	5619.15	28.3953	30.3866	29.9508	39.5938	157
DATA	2015-12-01	14:49:00:000	3.13512e-308	30.8	11.9449	438.66	78.0867	5233.86	28.403	30.4166	29.9563	39.6668	 43
DATA	2015-12-01	14:50:00:000	3.13512e-308	30.8	11.9465	293.46	78.0517	3805.88	28.4716	30.3734	29.958	39.5695	 36
DATA	2015-12-01	14:51:00:000	3.13512e-308	30.8	11.9499	252.746	78.4031	2913.54	28.4354	30.3974	29.9566	39.681	 79
DATA	2015-12-01	14:52:00:000	3.13512e-308	30.8	11.951	227.304	78.9103	2542.35	28.4703	30.4006	29.9587	39.679	  5
DATA	2015-12-01	14:53:00:000	3.13512e-308	30.8	11.9508	205.318	79.0533	2266.09	28.4856	30.469	29.958	39.5898	 36
DATA	2015-12-01	14:54:00:000	3.13512e-308	30.8	11.9501	187.921	78.4095	2086.35	28.4729	30.5175	29.959	39.5331	 73
DATA	2015-12-01	14:55:00:000	3.13512e-308	30.8	11.946	174.197	78.9173	1948.72	28.5599	30.5319	29.9632	39.8066	 99
DATA	2015-12-01	14:56:00:000	3.13512e-308	30.8	11.951	175.17	78.2265	1901.45	28.6305	30.5396	29.9645	39.8087	 22
DATA	2015-12-01	14:57:00:000	3.13512e-308	30.8	11.9513	190.582	77.713	2023.39	28.6623	30.6124	29.9632	39.6891	 62
DATA	2015-12-01	14:58:00:000	3.13512e-308	30.8	11.9513	192.449	77.4886	1972.35	28.6502	30.5732	29.9659	39.4439	143
DATA	2015-12-01	14:59:00:000	3.13512e-308	30.8	11.9462	189.073	76.7959	1961.83	28.6299	30.5452	29.9773	39.4925	159
