Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	13:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	13:30:00:000	2.85604e-308	32	11.9375	394.014	80.7184	315.622	29.2711	30.9242	30.7981	39.0305	252
DATA	2015-12-02	13:31:00:000	2.85604e-308	32	11.9364	417.906	79.1957	344.435	29.2978	30.9349	30.8228	38.9879	 57
DATA	2015-12-02	13:32:00:000	2.85604e-308	32	11.9391	313.201	78.7775	228.469	29.3118	30.9508	30.8641	38.9676	 30
DATA	2015-12-02	13:33:00:000	2.85604e-308	32	11.9373	303.231	78.4445	205.367	29.3715	30.9632	30.8889	39.0487	 23
DATA	2015-12-02	13:34:00:000	2.85604e-308	32	11.9391	334.412	79.3889	264.817	29.3277	30.9671	30.8949	39.1521	 39
DATA	2015-12-02	13:35:00:000	2.85604e-308	32	11.9371	839.923	78.8931	607.383	29.2628	30.9763	30.8754	39.1764	 50
DATA	2015-12-02	13:36:00:000	2.85604e-308	32	11.9389	966.058	78.897	837.094	29.3207	30.9976	30.9076	39.2189	 19
DATA	2015-12-02	13:37:00:000	2.85604e-308	32	11.9346	930.031	78.6072	796.715	29.3251	31.0125	30.9203	39.1966	  9
DATA	2015-12-02	13:38:00:000	2.85604e-308	31.7	11.9362	938.849	79.1728	732.504	29.3302	30.9802	30.938	39.0406	 76
DATA	2015-12-02	13:39:00:000	2.85604e-308	31.7	11.9362	930.388	79.5433	750.627	29.3347	30.9391	30.9352	38.7832	138
DATA	2015-12-02	13:40:00:000	2.85604e-308	31.7	11.9394	756.429	79.645	640.722	29.3925	31.01	30.9384	39.0446	225
DATA	2015-12-02	13:41:00:000	2.85604e-308	32	11.9332	748.505	79.8611	573.985	29.4402	31.0516	30.9561	39.1521	 13
DATA	2015-12-02	13:42:00:000	2.85604e-308	31.7	11.9337	801.354	79.1366	654.975	29.4993	31.0633	30.9462	39.0933	131
DATA	2015-12-02	13:43:00:000	2.85604e-308	31.7	11.933	631.188	79.2262	470.213	29.5457	31.0722	30.9678	39.0426	 61
DATA	2015-12-02	13:44:00:000	2.85604e-308	31.7	11.935	921.173	79.5992	699.136	29.5921	31.0846	31.0015	39.0041	 63
DATA	2015-12-02	13:45:00:000	2.85604e-308	31.7	11.935	858.831	79.1766	717.492	29.4713	31.0914	31.0164	38.9089	 84
DATA	2015-12-02	13:46:00:000	2.85604e-308	31.7	11.9341	283.073	79.1556	254.23	29.3868	31.0793	31.0285	39.0629	 69
DATA	2015-12-02	13:47:00:000	2.85604e-308	31.7	11.9321	880.101	78.7063	588.793	29.4332	31.0825	31.032	39.1257	 56
DATA	2015-12-02	13:48:00:000	2.85604e-308	31.7	11.9339	560.326	78.5328	513.469	29.4815	31.0925	31.0345	39.1804	120
DATA	2015-12-02	13:49:00:000	2.85604e-308	31.7	11.9318	800.083	78.7762	657.049	29.5139	31.0821	31.0263	39.0507	115
DATA	2015-12-02	13:50:00:000	2.85604e-308	31.7	11.9341	263.331	78.5912	240.605	29.5304	31.0693	30.998	39.1176	 53
DATA	2015-12-02	13:51:00:000	2.85604e-308	31.7	11.9318	285.118	78.147	206.988	29.5304	31.053	30.96	39.1966	174
DATA	2015-12-02	13:52:00:000	2.85604e-308	31.7	11.9332	400.409	78.7184	317.623	29.5374	31.0661	30.9228	39.3101	 97
DATA	2015-12-02	13:53:00:000	2.85604e-308	31.7	11.9337	246.231	78.1547	219.737	29.6041	31.0925	30.9104	39.3081	103
DATA	2015-12-02	13:54:00:000	2.85604e-308	31.7	11.933	212.826	78.4051	169.822	29.6187	31.1078	30.9062	39.4682	 66
DATA	2015-12-02	13:55:00:000	2.85604e-308	31.7	11.9323	187.702	78.5722	127.078	29.6372	31.1377	30.9012	39.3264	112
DATA	2015-12-02	13:56:00:000	2.85604e-308	31.7	11.9325	168.14	79.5249	108.109	29.6391	31.1337	30.9005	39.4094	 62
DATA	2015-12-02	13:57:00:000	2.85604e-308	31.7	11.9321	167.246	78.2481	123.544	29.648	31.1362	30.9034	39.5797	 69
DATA	2015-12-02	13:58:00:000	2.85604e-308	31.7	11.9327	171.019	79.3272	118.798	29.6124	31.1216	30.9016	39.4601	108
DATA	2015-12-02	13:59:00:000	2.85604e-308	31.4	11.9323	186.928	78.032	142.981	29.6149	31.1323	30.8825	39.5716	 71
