Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	10:54:56
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	10:55:00:000	3.13512e-308	32	11.9316	728.684	80.8252	9780.73	28.4322	30.4742	30.2836	37.9341	 11
DATA	2015-12-02	10:56:00:000	3.13512e-308	31.7	11.9362	718.635	81.1099	9618.27	28.4538	30.5795	30.2847	38.003	 69
DATA	2015-12-02	10:57:00:000	3.13512e-308	31.7	11.9375	711.267	81.2167	9712.81	28.4576	30.6387	30.2791	38.1692	121
DATA	2015-12-02	10:58:00:000	3.13512e-308	31.7	11.9359	704.375	80.6339	9417.09	28.3852	30.5486	30.2819	38.2198	130
DATA	2015-12-02	10:59:00:000	3.13512e-308	31.4	11.9378	707.791	81.8605	9159.3	28.4036	30.5388	30.2829	38.1996	 84
