Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	22:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	22:30:00:000	2.85604e-308	27.8	11.9332	-0.238327	89.356	-36.1725	27.0753	30.2805	30.318	36.8802	143
DATA	2015-12-02	22:31:00:000	2.85604e-308	27.8	11.9391	-0.258187	89.4532	-33.2518	27.0817	30.2871	30.318	36.7931	207
DATA	2015-12-02	22:32:00:000	2.85604e-308	27.8	11.9373	-0.278048	89.0059	-30.9445	27.0118	30.2909	30.3149	36.7891	  7
DATA	2015-12-02	22:33:00:000	2.85604e-308	27.8	11.9394	-0.258187	89.3732	-30.9153	27.0022	30.2913	30.3156	36.9694	  0
DATA	2015-12-02	22:34:00:000	2.85604e-308	27.8	11.9373	-0.278048	89.321	-31.7477	26.9965	30.2878	30.3159	37.0627	228
DATA	2015-12-02	22:35:00:000	2.85604e-308	27.8	11.9348	-0.238327	89.4698	-30.0099	27.0156	30.2968	30.3198	36.9674	 29
DATA	2015-12-02	22:36:00:000	2.85604e-308	27.8	11.9311	-0.178745	89.2594	-32.3464	26.9876	30.2996	30.3229	36.941	230
DATA	2015-12-02	22:37:00:000	2.85604e-308	27.8	11.9337	-0.317769	89.351	-35.1941	27.0385	30.2892	30.3229	36.8336	218
DATA	2015-12-02	22:38:00:000	2.85604e-308	27.8	11.9325	-0.297909	89.2124	-34.7414	27.015	30.2927	30.3243	36.7891	209
DATA	2015-12-02	22:39:00:000	2.85604e-308	27.8	11.9387	-0.258187	89.1342	-36.8589	26.994	30.2895	30.325	36.7971	198
DATA	2015-12-02	22:40:00:000	2.85604e-308	27.8	11.9401	-0.258187	89.1508	-38.436	27.0092	30.2802	30.3271	36.7911	189
DATA	2015-12-02	22:41:00:000	2.85604e-308	27.8	11.9348	-0.278048	89.4367	-38.217	27.0613	30.2722	30.3285	36.7728	212
DATA	2015-12-02	22:42:00:000	2.85604e-308	27.8	11.9394	-0.258187	89.1698	-36.9903	27.0353	30.2604	30.3271	36.8782	 17
DATA	2015-12-02	22:43:00:000	2.85604e-308	27.8	11.9385	-0.278048	88.9346	-37.6767	27.0245	30.2545	30.3257	36.8843	 25
DATA	2015-12-02	22:44:00:000	2.85604e-308	27.8	11.9398	-0.278048	88.8279	-37.7351	27.0226	30.2586	30.3236	36.7566	 26
DATA	2015-12-02	22:45:00:000	2.85604e-308	27.8	11.9355	-0.238327	88.8698	-38.1002	27.001	30.2579	30.3264	36.785	159
DATA	2015-12-02	22:46:00:000	2.85604e-308	27.8	11.938	-0.198606	89.0999	-36.2747	26.9743	30.2777	30.3292	36.8701	241
DATA	2015-12-02	22:47:00:000	2.85604e-308	27.8	11.9385	-0.238327	88.9741	-36.5668	26.9774	30.301	30.334	36.8093	175
DATA	2015-12-02	22:48:00:000	2.85604e-308	27.8	11.9398	-0.258187	89.2003	-35.6322	26.9698	30.3107	30.3361	36.8073	 11
DATA	2015-12-02	22:49:00:000	2.85604e-308	27.8	11.9389	-0.258187	89.4183	-36.3624	27.0219	30.2996	30.3392	36.8336	 28
DATA	2015-12-02	22:50:00:000	2.85604e-308	27.8	11.9348	-0.258187	89.2874	-37.1363	27.0226	30.3069	30.3406	36.8195	  8
DATA	2015-12-02	22:51:00:000	2.85604e-308	27.8	11.938	-0.158885	89.0192	-36.9903	26.9787	30.2979	30.3372	36.8417	243
DATA	2015-12-02	22:52:00:000	2.85604e-308	27.8	11.9396	-0.238327	88.9658	-35.3109	27.0111	30.2982	30.3316	36.9532	  3
DATA	2015-12-02	22:53:00:000	2.85604e-308	27.8	11.9348	-0.198606	89.1253	-31.149	27.0054	30.3006	30.3309	36.9066	193
DATA	2015-12-02	22:54:00:000	2.85604e-308	27.8	11.9355	-0.258187	89.8784	-26.4759	27.0632	30.2968	30.3312	36.9046	 26
DATA	2015-12-02	22:55:00:000	2.85604e-308	27.8	11.9348	-0.278048	90.2318	-24.6651	27.0467	30.2947	30.3298	36.7566	 18
DATA	2015-12-02	22:56:00:000	2.85604e-308	27.8	11.9373	-0.218466	90.3786	-24.6359	27.0455	30.308	30.3267	36.7242	211
DATA	2015-12-02	22:57:00:000	2.85604e-308	27.8	11.9352	-0.33763	90.5826	-24.6505	27.0556	30.3055	30.3267	36.8215	199
DATA	2015-12-02	22:58:00:000	2.85604e-308	27.8	11.9382	-0.258187	90.3831	-24.4168	27.0124	30.3159	30.326	36.8073	200
DATA	2015-12-02	22:59:00:000	2.85604e-308	27.8	11.9359	-0.178745	89.7583	-22.1095	26.9984	30.3142	30.3267	36.7992	 38
