Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	15:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	15:30:00:000	3.13512e-308	30.8	11.9453	295.863	76.0847	3251.37	28.7309	30.4316	29.9948	39.8492	134
DATA	2015-12-01	15:31:00:000	3.13512e-308	30.8	11.9476	562.252	76.4578	5596.51	28.6839	30.3999	30.0017	40.1978	131
DATA	2015-12-01	15:32:00:000	3.13512e-308	30.8	11.9458	663.819	76.9516	7966.67	28.7805	30.4554	29.9973	40.1795	157
DATA	2015-12-01	15:33:00:000	3.13512e-308	30.8	11.9483	601.854	76.2366	7030.84	28.7652	30.5782	29.9941	40.0924	116
DATA	2015-12-01	15:34:00:000	3.13512e-308	30.8	11.9453	591.329	75.3704	7248.31	28.7659	30.439	29.9945	40.1046	 71
DATA	2015-12-01	15:35:00:000	3.13512e-308	30.8	11.9474	329.924	75.1638	4994.73	28.7538	30.4461	29.9935	40.1613	132
DATA	2015-12-01	15:36:00:000	3.13512e-308	30.8	11.9462	217.533	75.7447	2516.93	28.8154	30.4205	29.9928	40.1917	116
DATA	2015-12-01	15:37:00:000	3.13512e-308	30.6	11.9488	221.604	74.3446	2485.55	28.8466	30.3539	29.9952	40.1532	119
DATA	2015-12-01	15:38:00:000	3.13512e-308	30.8	11.9462	221.445	74.4876	2510.57	28.9432	30.3863	29.9966	40.2201	109
DATA	2015-12-01	15:39:00:000	3.13512e-308	30.8	11.949	512.025	73.3531	4750.45	29.0696	30.2487	29.9979	39.9424	 82
DATA	2015-12-01	15:40:00:000	3.13512e-308	30.8	11.9458	698.059	72.6871	7845.12	29.0442	30.215	29.9973	39.7317	 80
DATA	2015-12-01	15:41:00:000	3.13512e-308	30.8	11.9492	691.545	73.0831	7967.46	28.9947	30.235	29.9986	39.7073	 98
DATA	2015-12-01	15:42:00:000	3.13512e-308	30.8	11.9499	696.828	72.8715	7990.5	28.9921	30.3685	30	39.8228	 99
DATA	2015-12-01	15:43:00:000	3.13512e-308	30.8	11.9494	684.216	72.8829	7648.3	28.9775	30.3122	30.0024	39.8472	 69
DATA	2015-12-01	15:44:00:000	3.13512e-308	30.8	11.9497	655.458	72.8441	7556.75	28.9902	30.2372	30.0017	39.8026	119
DATA	2015-12-01	15:45:00:000	3.13512e-308	30.8	11.9494	623.225	72.614	7200.45	29.0048	30.2397	30.0028	39.7377	 43
DATA	2015-12-01	15:46:00:000	3.13512e-308	30.8	11.9449	597.783	73.0024	6783.97	28.9966	30.2431	30.0031	39.7884	132
DATA	2015-12-01	15:47:00:000	3.13512e-308	30.8	11.9492	621.199	73.0436	7038.59	29.001	30.2222	30.0045	39.9303	 34
DATA	2015-12-01	15:48:00:000	3.13512e-308	30.8	11.9492	640.305	72.7748	7629.44	29.0029	30.3676	30.0069	40.0458	109
DATA	2015-12-01	15:49:00:000	3.13512e-308	30.8	11.9442	669.083	72.7507	8269.74	29.0283	30.3063	30.0093	40.1471	101
DATA	2015-12-01	15:50:00:000	3.13512e-308	30.8	11.9449	533.335	72.4145	6352.4	29.1097	30.2015	30.0096	40.0012	 14
DATA	2015-12-01	15:51:00:000	3.13512e-308	30.8	11.9494	577.764	71.9099	6542.67	29.2393	30.2167	30.0134	40.441	 58
DATA	2015-12-01	15:52:00:000	3.13512e-308	30.8	11.9492	574.249	72.1698	6299.38	29.362	30.3234	30.0114	40.1572	 51
DATA	2015-12-01	15:53:00:000	3.13512e-308	30.8	11.9485	699.986	70.4596	7563.1	29.3366	30.3682	30.0152	40.0093	 66
DATA	2015-12-01	15:54:00:000	3.13512e-308	30.8	11.9442	710.353	70.2384	8204.2	29.2946	30.4471	30.0176	40.2282	 27
DATA	2015-12-01	15:55:00:000	3.13512e-308	30.8	11.9481	827.61	70.6038	9479.84	29.2597	30.4757	30.0207	40.4126	 64
DATA	2015-12-01	15:56:00:000	3.13512e-308	30.8	11.9485	787.173	71.6982	9666.53	29.3118	30.4282	30.0193	40.7267	125
DATA	2015-12-01	15:57:00:000	3.13512e-308	30.8	11.9488	779.487	70.9057	8384.53	29.3683	30.4774	30.021	40.2119	 75
DATA	2015-12-01	15:58:00:000	3.13512e-308	30.8	11.9492	797.68	69.6505	8673.51	29.3359	30.3767	30.0196	39.9971	103
DATA	2015-12-01	15:59:00:000	3.13512e-308	30.8	11.9485	591.567	70.199	7536.49	29.3035	30.5153	30.0214	40.1187	 57
