Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	05:00:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	05:00:00:000	3.13512e-308	25.2	11.9442	0.119163	96.0044	-796.011	24.755	30.0431	30.0772	30.8633	108
DATA	2015-12-02	05:01:00:000	3.13512e-308	25.2	11.951	0.0794423	95.9771	-807.531	24.7512	30.0431	30.0779	30.7782	185
DATA	2015-12-02	05:02:00:000	3.13512e-308	25.2	11.9497	0.119163	95.9167	-824.809	24.7543	30.041	30.081	30.8694	 92
DATA	2015-12-02	05:03:00:000	3.13512e-308	25.2	11.9508	0.0198606	95.6422	-792.238	24.6711	30.0414	30.0814	30.9545	230
DATA	2015-12-02	05:04:00:000	3.13512e-308	25.2	11.9497	-0.139024	95.8277	-784.691	24.6914	30.0396	30.0807	30.8876	  4
DATA	2015-12-02	05:05:00:000	3.13512e-308	25.2	11.9501	-0.278048	95.9694	-804.154	24.7709	30.0389	30.081	31.0193	184
DATA	2015-12-02	05:06:00:000	3.13512e-308	25.2	11.9481	-0.178745	95.9301	-819.447	24.7512	30.0369	30.0817	30.918	192
DATA	2015-12-02	05:07:00:000	3.13512e-308	25.2	11.9485	0.0595817	95.8398	-813.092	24.7473	30.0348	30.0814	30.995	213
DATA	2015-12-02	05:08:00:000	3.13512e-308	25.2	11.9497	0.0397211	95.9847	-812.297	24.7645	30.0276	30.0814	31.1511	246
DATA	2015-12-02	05:09:00:000	3.13512e-308	25.2	11.9508	0.0993028	95.7724	-764.433	24.7448	30.0279	30.0821	30.9505	250
DATA	2015-12-02	05:10:00:000	3.13512e-308	25.2	11.9494	0.0993028	95.5347	-790.252	24.7041	30.0334	30.0814	30.8512	223
DATA	2015-12-02	05:11:00:000	3.13512e-308	25.2	11.9494	0.0993028	95.4051	-802.367	24.6997	30.031	30.081	30.916	 81
DATA	2015-12-02	05:12:00:000	3.13512e-308	25.2	11.949	0.0993028	95.3542	-817.461	24.694	30.0293	30.0814	30.6505	133
DATA	2015-12-02	05:13:00:000	3.13512e-308	25.2	11.9458	0.0794423	95.285	-850.827	24.6666	30.0289	30.0793	30.6201	197
DATA	2015-12-02	05:14:00:000	3.13512e-308	25.2	11.9492	0.0794423	95.3422	-829.774	24.7003	30.0231	30.08	30.8126	121
DATA	2015-12-02	05:15:00:000	3.13512e-308	25.2	11.9499	0.0595817	95.2494	-820.837	24.6933	30.0245	30.0786	30.6809	  9
DATA	2015-12-02	05:16:00:000	3.13512e-308	25.2	11.9481	0.0993028	95.2703	-844.074	24.7079	30.0331	30.0793	30.7782	242
DATA	2015-12-02	05:17:00:000	3.13512e-308	25.2	11.9451	-0.0794423	95.4139	-809.318	24.7359	30.0262	30.0779	30.8106	 33
DATA	2015-12-02	05:18:00:000	3.13512e-308	25.2	11.9504	-0.0993028	95.5811	-822.625	24.7823	30.0238	30.0783	30.7681	 30
DATA	2015-12-02	05:19:00:000	3.13512e-308	25.2	11.9497	-0.278048	95.5792	-801.771	24.8103	30.0269	30.0772	30.689	202
DATA	2015-12-02	05:20:00:000	3.13512e-308	25.2	11.9494	-0.0794423	95.0803	-817.858	24.7283	30.0134	30.079	30.8755	241
DATA	2015-12-02	05:21:00:000	3.13512e-308	25.2	11.9476	0.0993028	94.666	-796.409	24.5847	30.0272	30.0807	30.916	152
DATA	2015-12-02	05:22:00:000	3.13512e-308	25.2	11.9497	-0.119163	94.9799	-796.21	24.6082	30.0134	30.0797	30.7194	199
DATA	2015-12-02	05:23:00:000	3.13512e-308	25.2	11.9492	0.139024	95.1331	-835.335	24.619	29.9986	30.0814	30.7498	154
DATA	2015-12-02	05:24:00:000	3.13512e-308	25.2	11.949	0.0794423	95.2906	-837.917	24.6622	30.0276	30.0797	30.7843	207
DATA	2015-12-02	05:25:00:000	3.13512e-308	25.2	11.9494	0.139024	95.4584	-791.443	24.7308	30.0307	30.0793	30.7478	196
DATA	2015-12-02	05:26:00:000	3.13512e-308	25.2	11.9504	0.0794423	95.2798	-813.688	24.6914	30.0434	30.0779	30.5978	 12
DATA	2015-12-02	05:27:00:000	3.13512e-308	25.2	11.9492	0.158885	95.0733	-821.83	24.6336	30.0169	30.0776	30.8005	144
DATA	2015-12-02	05:28:00:000	3.13512e-308	25.2	11.9494	0.0993028	94.3825	-823.022	24.4626	30.0183	30.0786	30.9059	245
DATA	2015-12-02	05:29:00:000	3.13512e-308	25.2	11.949	0.158885	94.7213	-806.935	24.4912	30.0121	30.0804	30.6384	138
