Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	14:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	14:30:00:000	2.85604e-308	31.7	11.9348	241.882	74.97	222.322	30.0643	31.0821	30.9675	39.7094	  1
DATA	2015-12-02	14:31:00:000	2.85604e-308	31.7	11.9369	366.348	75.6392	250.9	30.0166	31.0622	30.971	39.5959	223
DATA	2015-12-02	14:32:00:000	2.85604e-308	31.7	11.9369	772.874	76.7215	685.861	30.0102	31.0509	30.983	39.7357	 74
DATA	2015-12-02	14:33:00:000	2.85604e-308	31.7	11.935	833.965	77.5687	802.513	29.9562	31.0729	30.9745	39.7519	 97
DATA	2015-12-02	14:34:00:000	2.85604e-308	31.7	11.9362	718.198	75.596	732.212	29.9747	31.0797	30.9742	39.6871	 98
DATA	2015-12-02	14:35:00:000	2.85604e-308	31.7	11.9339	690.155	75.2986	631.668	30.1291	31.086	30.9788	39.7013	 81
DATA	2015-12-02	14:36:00:000	2.85604e-308	31.7	11.9327	727.036	76.4438	702.217	30.1723	31.0989	30.9781	39.8228	124
DATA	2015-12-02	14:37:00:000	2.85604e-308	31.7	11.9332	558.876	77.9919	612.085	30.3642	31.1231	30.9784	39.6931	133
DATA	2015-12-02	14:38:00:000	2.85604e-308	31.7	11.9327	194.653	78.2513	209.31	30.3528	31.1302	30.9823	39.6648	 57
DATA	2015-12-02	14:39:00:000	2.85604e-308	31.7	11.9325	213.104	76.8486	172.539	30.3668	31.1024	30.982	39.8755	 68
DATA	2015-12-02	14:40:00:000	2.85604e-308	31.7	11.9337	461.48	76.7609	375.701	30.4195	31.1017	30.9838	39.8208	 67
DATA	2015-12-02	14:41:00:000	2.85604e-308	31.7	11.9318	666.561	76.78	586.631	30.478	31.1067	30.9877	39.7844	246
DATA	2015-12-02	14:42:00:000	2.85604e-308	31.7	11.9337	526.206	77.0514	537.068	30.5123	31.0896	30.9859	39.8472	122
DATA	2015-12-02	14:43:00:000	2.85604e-308	31.7	11.9332	183.512	74.5582	195.101	30.5968	31.1216	30.987	39.837	 10
DATA	2015-12-02	14:44:00:000	2.85604e-308	31.7	11.9325	218.625	74.8009	164.682	30.6814	31.1508	30.9894	40.2565	113
DATA	2015-12-02	14:45:00:000	2.85604e-308	31.7	11.9332	390.975	75.2515	327.071	30.6483	31.2122	30.993	40.1998	 58
DATA	2015-12-02	14:46:00:000	2.85604e-308	31.7	11.933	365.375	78.9281	340.346	30.6877	31.1801	30.9965	39.8087	 85
DATA	2015-12-02	14:47:00:000	2.85604e-308	31.7	11.9339	321.92	77.2045	296.667	30.6502	31.0776	30.9905	39.8411	 69
DATA	2015-12-02	14:48:00:000	2.85604e-308	31.7	11.9323	297.67	76.7959	261.663	30.6477	31.064	30.9859	39.9323	 47
DATA	2015-12-02	14:49:00:000	2.85604e-308	31.7	11.9332	307.6	75.2439	265.781	30.6858	31.117	30.9827	40.1208	216
DATA	2015-12-02	14:50:00:000	2.85604e-308	31.7	11.9323	295.128	74.4476	263.795	30.729	31.1014	30.9806	39.989	 24
DATA	2015-12-02	14:51:00:000	2.85604e-308	31.7	11.9337	268.952	75.2719	239.349	30.7398	31.1138	30.9802	39.8654	137
DATA	2015-12-02	14:52:00:000	2.85604e-308	31.7	11.9334	252.07	74.86	224.527	30.8104	31.1024	30.9813	40.1268	185
DATA	2015-12-02	14:53:00:000	2.85604e-308	31.7	11.9332	234.156	74.9122	204.856	30.7767	31.1259	30.982	39.9323	 62
DATA	2015-12-02	14:54:00:000	2.85604e-308	31.7	11.9334	230.224	74.813	182.907	30.6954	31.0804	30.9841	39.8776	 63
DATA	2015-12-02	14:55:00:000	2.85604e-308	31.7	11.9323	223.888	75.6367	186.251	30.6165	31.0743	30.9848	39.9343	129
DATA	2015-12-02	14:56:00:000	2.85604e-308	31.7	11.9341	211.654	73.697	178.657	30.5206	31.1106	30.9855	40.0782	 56
DATA	2015-12-02	14:57:00:000	2.85604e-308	31.7	11.9318	202.459	74.874	171.662	30.4265	31.0892	30.9855	40.291	 13
DATA	2015-12-02	14:58:00:000	2.85604e-308	31.7	11.9323	194.971	75.3939	160.549	30.3979	31.1056	30.987	40.1289	 84
DATA	2015-12-02	14:59:00:000	2.85604e-308	31.7	11.9332	193.402	75.8318	160.447	30.375	31.0786	30.9848	40.1491	 62
