Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	15:00:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	15:00:00:000	3.13512e-308	30.8	11.9513	190.364	78.0428	1901.85	28.6476	30.5053	29.991	39.8006	 53
DATA	2015-12-01	15:01:00:000	3.13512e-308	30.8	11.9506	190.324	77.6424	1876.43	28.6584	30.4791	29.9866	39.6303	122
DATA	2015-12-01	15:02:00:000	3.13512e-308	30.8	11.9492	188.715	77.4238	1936.8	28.6349	30.563	30.0079	39.6688	 28
DATA	2015-12-01	15:03:00:000	3.13512e-308	30.8	11.9488	185.736	77.5776	1911.18	28.647	30.4829	30.0396	39.4662	 80
DATA	2015-12-01	15:04:00:000	3.13512e-308	30.8	11.949	181.089	77.2662	1885.36	28.6057	30.5549	30.05	39.3223	212
DATA	2015-12-01	15:05:00:000	3.13512e-308	30.8	11.9504	180.096	78.3586	1956.66	28.5561	30.6542	30.0552	39.8654	116
DATA	2015-12-01	15:06:00:000	3.13512e-308	30.8	11.9497	179.52	77.2179	1909	28.546	30.4976	30.0224	39.8938	136
DATA	2015-12-01	15:07:00:000	3.13512e-308	30.8	11.9485	177.077	78.2875	1948.12	28.5129	30.4438	29.9986	40.1471	135
DATA	2015-12-01	15:08:00:000	3.13512e-308	30.8	11.9483	172.747	77.4365	1761.83	28.5396	30.3883	29.9914	40.0822	128
DATA	2015-12-01	15:09:00:000	3.13512e-308	30.8	11.9494	169.649	76.6294	1756.27	28.5091	30.4135	29.9979	39.76	 49
DATA	2015-12-01	15:10:00:000	3.13512e-308	30.8	11.9497	169.371	77.106	1804.13	28.5955	30.3706	30.0076	40.1147	 35
DATA	2015-12-01	15:11:00:000	3.13512e-308	30.8	11.9488	171.993	77.366	1757.06	28.6248	30.3734	30.0162	40.06	202
DATA	2015-12-01	15:12:00:000	3.13512e-308	30.8	11.9504	173.78	76.9249	1841.67	28.5962	30.3368	30.0245	40.066	  2
DATA	2015-12-01	15:13:00:000	3.13512e-308	30.8	11.9494	175.448	76.7965	1854.38	28.6279	30.4009	30.0165	40.0336	111
DATA	2015-12-01	15:14:00:000	3.13512e-308	30.8	11.9488	177.971	77.3456	1855.18	28.6934	30.3654	30.0079	40.0742	117
DATA	2015-12-01	15:15:00:000	3.13512e-308	30.8	11.9494	179.52	76.7457	1823.4	28.7099	30.4369	30.0052	39.8816	 21
DATA	2015-12-01	15:16:00:000	3.13512e-308	30.8	11.9458	180.056	76.6987	1903.04	28.6985	30.4002	30.0028	39.9221	101
DATA	2015-12-01	15:17:00:000	3.13512e-308	30.8	11.9494	180.453	75.6875	1989.43	28.7735	30.4564	29.9948	40.0559	147
DATA	2015-12-01	15:18:00:000	3.13512e-308	30.8	11.9478	188.656	75.8292	2060.34	28.7639	30.4483	29.9969	40.3092	140
DATA	2015-12-01	15:19:00:000	3.13512e-308	30.8	11.949	201.366	76.8004	2135.8	28.879	30.4609	29.9962	40.1815	220
DATA	2015-12-01	15:20:00:000	3.13512e-308	30.8	11.9474	193.402	75.0602	2063.12	28.8701	30.4783	29.9931	40.3558	 90
DATA	2015-12-01	15:21:00:000	3.13512e-308	30.8	11.9488	191.694	75.5877	1980.69	28.858	30.4763	29.99	40.6416	252
DATA	2015-12-01	15:22:00:000	3.13512e-308	30.8	11.9458	188.516	75.2502	1969.77	28.8961	30.4924	29.9948	40.368	 91
DATA	2015-12-01	15:23:00:000	3.13512e-308	30.8	11.949	188.238	74.9992	1972.35	28.8192	30.463	29.9973	40.2322	 28
DATA	2015-12-01	15:24:00:000	3.13512e-308	30.8	11.9458	190.364	76.5391	2107.6	28.8682	30.4927	29.9993	40.5078	 80
DATA	2015-12-01	15:25:00:000	3.13512e-308	30.8	11.949	194.773	75.1441	2017.04	28.8599	30.4847	30.0041	40.0539	 46
DATA	2015-12-01	15:26:00:000	3.13512e-308	30.8	11.9458	209.132	74.9153	2213.26	28.7824	30.4612	30.0076	40.0397	 84
DATA	2015-12-01	15:27:00:000	3.13512e-308	30.8	11.9492	520.823	75.9601	4984.41	28.8212	30.4606	30.0059	40.1106	 84
DATA	2015-12-01	15:28:00:000	3.13512e-308	30.6	11.9465	681.952	75.0043	7838.57	28.8332	30.47	30.0065	40.0032	245
DATA	2015-12-01	15:29:00:000	3.13512e-308	30.6	11.9492	323.826	75.425	4435.66	28.8084	30.3985	30.0017	39.833	  9
