Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	17:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	17:30:00:000	3.13512e-308	30.8	11.9467	82.0241	78.9364	600.981	29.254	30.6907	30.1969	39.0386	 67
DATA	2015-12-01	17:31:00:000	3.13512e-308	31.1	11.9517	82.9178	76.2843	611.109	29.1535	30.7393	30.1934	39.0974	109
DATA	2015-12-01	17:32:00:000	3.13512e-308	31.1	11.946	84.7053	76.3402	616.67	29.1078	30.7118	30.1934	39.073	198
DATA	2015-12-01	17:33:00:000	3.13512e-308	30.8	11.9504	86.3934	76.5658	656.59	29.0804	30.6953	30.1609	39.1358	 78
DATA	2015-12-01	17:34:00:000	3.13512e-308	30.8	11.9467	87.2872	76.9624	656.789	29.1052	30.6293	30.145	39.148	 30
DATA	2015-12-01	17:35:00:000	3.13512e-308	30.8	11.9504	86.9694	76.5639	669.103	29.0544	30.6275	30.1343	39.0163	116
DATA	2015-12-01	17:36:00:000	3.13512e-308	30.8	11.9449	86.1552	76.6618	664.336	29.0112	30.6461	30.1311	38.9798	116
DATA	2015-12-01	17:37:00:000	3.13512e-308	30.8	11.9513	85.1423	78.4229	608.528	29.0804	30.6882	30.1242	38.9595	117
DATA	2015-12-01	17:38:00:000	3.13512e-308	30.8	11.9451	84.03	77.2293	641.298	28.9819	30.6552	30.1387	38.8521	 20
DATA	2015-12-01	17:39:00:000	3.13512e-308	30.8	11.9442	82.9973	77.1543	607.535	28.9953	30.6731	30.1553	38.9129	131
DATA	2015-12-01	17:40:00:000	3.13512e-308	30.8	11.9458	82.2227	80.2844	587.674	28.9997	30.6749	30.154	38.765	 39
DATA	2015-12-01	17:41:00:000	3.13512e-308	30.8	11.949	81.3886	82.4802	609.124	28.9438	30.6507	30.1395	38.7751	 70
DATA	2015-12-01	17:42:00:000	3.13512e-308	30.8	11.9442	80.3558	81.9387	599.392	28.9406	30.65	30.1284	38.7103	 18
DATA	2015-12-01	17:43:00:000	3.13512e-308	30.8	11.9494	79.5217	81.1188	597.803	28.9025	30.67	30.137	38.7325	223
DATA	2015-12-01	17:44:00:000	3.13512e-308	30.8	11.9458	78.9457	77.6348	577.744	28.9044	30.6566	30.1405	38.7366	146
DATA	2015-12-01	17:45:00:000	3.13512e-308	30.8	11.9497	78.0123	79.7759	560.068	28.9343	30.6384	30.1398	38.7711	136
DATA	2015-12-01	17:46:00:000	3.13512e-308	30.8	11.9446	76.9597	78.7667	563.246	28.9616	30.6514	30.1453	38.8764	150
DATA	2015-12-01	17:47:00:000	3.13512e-308	30.8	11.9458	75.9667	80.3969	562.054	28.9705	30.6471	30.1702	38.9919	142
DATA	2015-12-01	17:48:00:000	3.13512e-308	30.8	11.9437	74.6956	79.0037	524.915	29.0557	30.6366	30.1702	38.9697	135
DATA	2015-12-01	17:49:00:000	3.13512e-308	30.8	11.9499	73.4047	76.6898	490.357	29.0385	30.6138	30.1578	38.996	104
DATA	2015-12-01	17:50:00:000	3.13512e-308	30.8	11.9437	72.0144	79.2631	473.277	29.1033	30.6043	30.1522	38.8238	 87
DATA	2015-12-01	17:51:00:000	3.13512e-308	30.8	11.9508	70.4852	83.0928	466.922	29.1891	30.5837	30.1453	38.6718	122
DATA	2015-12-01	17:52:00:000	3.13512e-308	30.6	11.9449	68.5984	82.3435	437.727	29.1936	30.5725	30.1408	38.9433	128
DATA	2015-12-01	17:53:00:000	3.13512e-308	30.8	11.9506	66.4932	81.7715	420.448	29.2177	30.4969	30.1346	38.7954	125
DATA	2015-12-01	17:54:00:000	3.13512e-308	30.8	11.9439	64.2886	81.8096	392.842	29.2508	30.5518	30.1311	38.7629	124
DATA	2015-12-01	17:55:00:000	3.13512e-308	30.8	11.9501	61.8855	82.1382	361.462	29.1529	30.5409	30.1453	38.7245	102
DATA	2015-12-01	17:56:00:000	3.13512e-308	30.6	11.9485	59.4228	83.9572	301.483	29.0938	30.5385	30.1581	38.6008	120
DATA	2015-12-01	17:57:00:000	3.13512e-308	30.6	11.9513	57.2977	84.0042	250.839	29.0576	30.4599	30.1689	38.617	 77
DATA	2015-12-01	17:58:00:000	3.13512e-308	30.8	11.9494	55.3315	84.0734	159.083	29.1148	30.5196	30.1654	38.6758	122
DATA	2015-12-01	17:59:00:000	3.13512e-308	30.6	11.9492	53.981	83.53	111.418	29.1008	30.5248	30.1564	38.5948	211
