Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	07:00:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	07:00:00:000	3.13512e-308	25.2	11.9513	0.297909	94.3901	-828.583	24.8331	29.8402	29.9312	31.0112	189
DATA	2015-12-02	07:01:00:000	3.13512e-308	25.2	11.9504	0.516375	94.6323	-793.827	24.8592	29.8433	29.9202	31.0619	207
DATA	2015-12-02	07:02:00:000	3.13512e-308	25.2	11.9499	0.754702	94.4492	-794.82	24.8554	29.8656	29.9171	31.0416	175
DATA	2015-12-02	07:03:00:000	3.13512e-308	25.2	11.9494	0.953307	94.1797	-797.402	24.8115	29.9016	29.9195	31.0011	206
DATA	2015-12-02	07:04:00:000	3.13512e-308	25.2	11.9501	1.05261	94.2719	-821.83	24.7842	29.8982	29.9264	31.1612	 98
DATA	2015-12-02	07:05:00:000	3.13512e-308	25.2	11.9497	1.17177	94.3291	-787.869	24.8331	29.9198	29.9408	31.0943	189
DATA	2015-12-02	07:06:00:000	3.13512e-308	25.2	11.9497	1.52926	94.3806	-806.14	24.8325	29.8855	29.9498	31.1146	126
DATA	2015-12-02	07:07:00:000	3.13512e-308	25.2	11.9458	1.70801	94.4359	-724.116	24.849	29.8858	29.9556	30.9342	128
DATA	2015-12-02	07:08:00:000	3.13512e-308	25.2	11.9449	1.84703	94.0387	-800.977	24.8014	29.9219	29.958	30.7174	124
DATA	2015-12-02	07:09:00:000	3.13512e-308	25.2	11.9451	2.04564	93.5779	-859.764	24.7435	29.936	29.9632	30.7863	139
DATA	2015-12-02	07:10:00:000	3.13512e-308	25.2	11.9497	2.34355	93.7037	-804.949	24.7696	29.9277	29.9666	30.7458	197
DATA	2015-12-02	07:11:00:000	3.13512e-308	25.2	11.9492	2.58187	93.5849	-838.314	24.7829	29.9174	29.968	30.6708	143
DATA	2015-12-02	07:12:00:000	3.13512e-308	25.2	11.9501	2.87978	93.6287	-808.126	24.7937	29.8855	29.969	30.7478	151
DATA	2015-12-02	07:13:00:000	3.13512e-308	25.2	11.9444	3.21741	93.7164	-789.06	24.8166	29.8255	29.968	30.7721	 66
DATA	2015-12-02	07:14:00:000	3.13512e-308	25.2	11.9499	3.61462	93.8328	-767.412	24.8274	29.8286	29.9432	30.7579	187
DATA	2015-12-02	07:15:00:000	3.13512e-308	25.2	11.9494	4.05156	93.7698	-769.2	24.8465	29.8221	29.9198	30.9059	 87
DATA	2015-12-02	07:16:00:000	3.13512e-308	25.2	11.9483	4.44877	93.6535	-753.311	24.8331	29.7895	29.902	30.8876	130
DATA	2015-12-02	07:17:00:000	3.13512e-308	25.2	11.9476	5.06445	93.2004	-748.147	24.7937	29.7995	29.8924	30.8228	184
DATA	2015-12-02	07:18:00:000	3.13512e-308	25.2	11.9485	5.6404	92.924	-811.9	24.769	29.8385	29.8865	30.7377	190
DATA	2015-12-02	07:19:00:000	3.13512e-308	25.2	11.9499	6.09719	93.072	-803.956	24.8001	29.8484	29.8831	30.8917	133
DATA	2015-12-02	07:20:00:000	3.13512e-308	25.2	11.9501	6.55399	93.0097	-757.482	24.8115	29.8584	29.881	30.7883	128
DATA	2015-12-02	07:21:00:000	3.13512e-308	25.2	11.951	6.97106	92.8985	-766.221	24.8204	29.8454	29.8931	30.8208	116
DATA	2015-12-02	07:22:00:000	3.13512e-308	25.2	11.9506	7.46757	93.0186	-747.353	24.8255	29.832	29.9095	30.8187	126
DATA	2015-12-02	07:23:00:000	3.13512e-308	25.2	11.9462	7.82506	92.8337	-754.105	24.8103	29.8642	29.9367	30.6363	161
DATA	2015-12-02	07:24:00:000	3.13512e-308	25.2	11.952	8.30172	92.7689	-759.071	24.7842	29.8755	29.9477	30.7681	138
DATA	2015-12-02	07:25:00:000	3.13512e-308	25.2	11.9517	8.69893	93.0199	-746.956	24.8503	29.8852	29.9456	30.8815	203
DATA	2015-12-02	07:26:00:000	3.13512e-308	25.2	11.9515	9.03656	93.3052	-748.942	24.8707	29.8594	29.9367	30.9849	194
DATA	2015-12-02	07:27:00:000	3.13512e-308	25.2	11.9513	9.47349	93.4127	-698.893	24.8929	29.8522	29.9322	30.9748	199
DATA	2015-12-02	07:28:00:000	3.13512e-308	25.2	11.951	9.89056	93.3008	-676.054	24.8751	29.858	29.9301	30.7964	 76
DATA	2015-12-02	07:29:00:000	3.13512e-308	25.2	11.9515	10.3275	92.8648	-726.5	24.8541	29.8296	29.9137	30.8532	 69
