Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	08:00:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	08:00:00:000	3.13512e-308	25.2	11.9501	24.4483	91.7679	-487.775	25.1071	29.8817	29.8944	31.4996	184
DATA	2015-12-02	08:01:00:000	3.13512e-308	25.2	11.9501	24.7264	91.7412	-487.775	25.1141	29.8828	29.8937	31.5807	164
DATA	2015-12-02	08:02:00:000	3.13512e-308	25.2	11.9497	24.8654	91.8029	-509.225	25.095	29.8718	29.8879	31.6334	131
DATA	2015-12-02	08:03:00:000	3.13512e-308	25.2	11.9499	25.1633	92.1384	-478.242	25.1102	29.8725	29.8865	31.599	117
DATA	2015-12-02	08:04:00:000	3.13512e-308	25.2	11.9497	25.3818	92.1213	-474.866	25.1007	29.8725	29.8872	31.6598	177
DATA	2015-12-02	08:05:00:000	3.13512e-308	25.2	11.9501	25.6201	92.4307	-453.615	25.1579	29.8711	29.8845	31.6192	148
DATA	2015-12-02	08:06:00:000	3.13512e-308	25.2	11.9492	25.7592	92.7066	-472.086	25.2151	29.8615	29.8749	31.453	119
DATA	2015-12-02	08:07:00:000	3.13512e-308	25.2	11.9497	26.1365	92.8121	-455.204	25.2482	29.8519	29.8652	31.4024	153
DATA	2015-12-02	08:08:00:000	3.13512e-308	25.5	11.9492	26.4543	92.8788	-428.392	25.2704	29.8392	29.8567	31.3456	189
DATA	2015-12-02	08:09:00:000	3.13512e-308	25.2	11.9504	26.8316	92.8426	-423.03	25.2882	29.8375	29.8502	31.4368	108
DATA	2015-12-02	08:10:00:000	3.13512e-308	25.2	11.9497	27.1891	92.8184	-387.877	25.3149	29.8368	29.8488	31.526	146
DATA	2015-12-02	08:11:00:000	3.13512e-308	25.2	11.9442	27.6658	92.6583	-351.929	25.3301	29.8282	29.8457	31.68	 67
DATA	2015-12-02	08:12:00:000	3.13512e-308	25.5	11.9449	28.3013	92.8464	-233.759	25.3676	29.8238	29.8443	31.7793	180
DATA	2015-12-02	08:13:00:000	3.13512e-308	25.2	11.9465	28.9964	92.6487	-233.362	25.3251	29.8231	29.845	31.7996	127
DATA	2015-12-02	08:14:00:000	3.13512e-308	25.2	11.9499	29.5922	92.425	-289.964	25.3212	29.8306	29.8467	31.7834	130
DATA	2015-12-02	08:15:00:000	3.13512e-308	25.5	11.9453	30.4065	92.3761	-284.205	25.3378	29.8371	29.8502	31.8948	162
DATA	2015-12-02	08:16:00:000	3.13512e-308	25.5	11.9504	35.7292	92.1778	-221.048	25.2888	29.8471	29.8526	32.0144	165
DATA	2015-12-02	08:17:00:000	3.13512e-308	25.5	11.9504	68.5388	92.2299	464.539	25.2685	29.8642	29.8591	31.9779	163
DATA	2015-12-02	08:18:00:000	3.13512e-308	25.5	11.9506	110.921	92.1829	1110.8	25.2685	29.8821	29.8704	32.0245	 47
DATA	2015-12-02	08:19:00:000	3.13512e-308	25.5	11.9474	136.104	92.0336	1246.25	25.2659	29.8855	29.8834	32.0043	110
DATA	2015-12-02	08:20:00:000	3.13512e-308	25.5	11.9508	153.82	91.8003	1576.33	25.3162	29.8769	29.8924	32.0529	 62
DATA	2015-12-02	08:21:00:000	3.13512e-308	25.5	11.9504	160.374	91.9547	1718.54	25.388	29.9054	29.8982	31.9131	 72
DATA	2015-12-02	08:22:00:000	3.13512e-308	25.5	11.9501	163.711	92.0355	1878.01	25.5202	29.9082	29.9044	31.9536	 94
DATA	2015-12-02	08:23:00:000	3.13512e-308	25.5	11.949	166.948	92.0297	1839.09	25.6587	29.9119	29.9157	32.1482	 95
DATA	2015-12-02	08:24:00:000	3.13512e-308	25.5	11.9506	170.165	91.7272	1883.77	25.7693	29.9095	29.9236	32.1076	130
DATA	2015-12-02	08:25:00:000	3.13512e-308	25.5	11.9504	172.985	91.4971	2251.79	25.8843	29.9075	29.9264	32.138	 83
DATA	2015-12-02	08:26:00:000	3.13512e-308	25.8	11.9497	176.124	91.0548	2338.18	25.9924	29.8944	29.936	32.3204	 81
DATA	2015-12-02	08:27:00:000	3.13512e-308	25.8	11.9504	179.261	90.4708	2433.71	26.0858	29.8965	29.9305	32.3143	122
DATA	2015-12-02	08:28:00:000	3.13512e-308	25.8	11.951	182.3	88.7936	2058.95	26.1729	29.9061	29.9198	32.2799	254
DATA	2015-12-02	08:29:00:000	3.13512e-308	25.8	11.9508	185.041	86.8901	1980.3	26.1678	29.925	29.9236	32.2718	 29
