Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	17:00:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	17:00:00:000	3.13512e-308	31.1	11.9455	544.934	78.2017	4956.4	28.994	30.7935	30.7178	39.7114	 17
DATA	2015-12-01	17:01:00:000	3.13512e-308	31.1	11.9492	447.042	78.4171	4282.14	28.9743	30.8101	30.6883	39.5513	 93
DATA	2015-12-01	17:02:00:000	3.13512e-308	31.1	11.9494	230.7	78.2252	2363.21	28.9514	30.7963	30.6791	39.3527	253
DATA	2015-12-01	17:03:00:000	3.13512e-308	31.1	11.9488	210.264	77.3691	2035.51	28.9362	30.7925	30.6847	39.4196	110
DATA	2015-12-01	17:04:00:000	3.13512e-308	31.1	11.9506	265.516	78.7209	2307.8	28.9419	30.802	30.677	39.4479	217
DATA	2015-12-01	17:05:00:000	3.13512e-308	31.1	11.9504	253.222	79.0864	2065.3	28.9546	30.7967	30.6658	39.4378	 67
DATA	2015-12-01	17:06:00:000	3.13512e-308	31.1	11.9504	242.676	77.664	2077.61	29.0023	30.7667	30.6724	39.3061	 43
DATA	2015-12-01	17:07:00:000	3.13512e-308	31.1	11.9506	191.654	77.4918	1633.13	28.9921	30.7537	30.6675	39.2797	124
DATA	2015-12-01	17:08:00:000	3.13512e-308	31.1	11.9508	196.818	76.0154	1769.18	29.0118	30.7572	30.6816	39.2473	113
DATA	2015-12-01	17:09:00:000	3.13512e-308	31.1	11.9462	389.148	75.2649	3010.66	29.1033	30.7477	30.6914	39.304	 50
DATA	2015-12-01	17:10:00:000	3.13512e-308	31.1	11.9458	465.293	74.9935	4486.11	29.158	30.7776	30.7044	39.6182	 69
DATA	2015-12-01	17:11:00:000	3.13512e-308	31.1	11.9508	222.379	75.0621	2639.67	29.2425	30.7836	30.7111	39.7742	 97
DATA	2015-12-01	17:12:00:000	3.13512e-308	31.1	11.9508	172.926	74.7876	1765.6	29.3302	30.7861	30.7217	39.5391	 60
DATA	2015-12-01	17:13:00:000	3.13512e-308	31.1	11.9465	158.825	74.2105	1609.1	29.3811	30.7893	30.7231	39.7418	 45
DATA	2015-12-01	17:14:00:000	3.13512e-308	31.1	11.9453	149.153	74.5467	1496.89	29.3569	30.7928	30.7083	39.6283	132
DATA	2015-12-01	17:15:00:000	3.13512e-308	31.1	11.946	143.512	74.4958	1223.81	29.3156	30.7949	30.584	39.3466	  6
DATA	2015-12-01	17:16:00:000	3.13512e-308	31.1	11.946	138.15	74.1718	1274.85	29.2215	30.7808	30.5602	39.1906	248
DATA	2015-12-01	17:17:00:000	3.13512e-308	31.1	11.951	131.437	74.7933	1220.43	29.1599	30.7889	30.5493	39.4317	 58
DATA	2015-12-01	17:18:00:000	3.13512e-308	31.1	11.9499	124.546	74.9185	1127.48	29.116	30.7914	30.6103	39.4966	 62
DATA	2015-12-01	17:19:00:000	3.13512e-308	31.1	11.9517	191.754	74.4552	1618.44	29.1465	30.797	30.6226	39.4337	 61
DATA	2015-12-01	17:20:00:000	3.13512e-308	31.1	11.9501	131.477	75.8178	1142.78	29.1116	30.8087	30.5571	39.5533	 92
DATA	2015-12-01	17:21:00:000	3.13512e-308	31.1	11.952	101.408	74.8562	785.684	29.0957	30.7963	30.403	39.2676	  8
DATA	2015-12-01	17:22:00:000	3.13512e-308	31.1	11.9478	93.861	74.405	753.907	29.1485	30.7731	30.2934	39.3486	 16
DATA	2015-12-01	17:23:00:000	3.13512e-308	31.1	11.9515	89.3527	74.7247	749.339	29.1739	30.76	30.2271	39.4094	 18
DATA	2015-12-01	17:24:00:000	3.13512e-308	31.1	11.952	86.6517	76.0936	667.315	29.2171	30.7572	30.2066	39.304	254
DATA	2015-12-01	17:25:00:000	3.13512e-308	31.1	11.9517	84.9238	75.3875	669.897	29.254	30.7636	30.1692	39.1784	 93
DATA	2015-12-01	17:26:00:000	3.13512e-308	31.1	11.946	83.6924	74.7368	682.012	29.2609	30.7555	30.1927	39.2777	 73
DATA	2015-12-01	17:27:00:000	3.13512e-308	31.1	11.9508	82.7192	74.8657	661.953	29.2559	30.7491	30.1824	39.2493	129
DATA	2015-12-01	17:28:00:000	3.13512e-308	30.8	11.9469	82.044	75.3005	606.343	29.2775	30.7283	30.2032	39.1987	 56
DATA	2015-12-01	17:29:00:000	3.13512e-308	31.1	11.952	81.7659	76.9974	573.375	29.3792	30.6932	30.2278	39.1176	 89
