Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	04:00:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	04:00:00:000	3.13512e-308	25.2	11.9485	0.0993028	96.5109	-763.44	24.8389	30.0352	30.0531	30.9687	195
DATA	2015-12-02	04:01:00:000	3.13512e-308	25.2	11.9501	0.0397211	96.5586	-783.896	24.842	30.0331	30.0552	31.0376	176
DATA	2015-12-02	04:02:00:000	3.13512e-308	25.2	11.9504	0.119163	96.6119	-826.795	24.8776	30.0383	30.0558	31.0234	187
DATA	2015-12-02	04:03:00:000	3.13512e-308	25.2	11.9506	0.178745	96.6329	-797.998	24.8662	30.0338	30.0558	31.0193	214
DATA	2015-12-02	04:04:00:000	3.13512e-308	25.2	11.9499	0.119163	96.72	-763.837	24.8923	30.0383	30.0565	31.0133	 85
DATA	2015-12-02	04:05:00:000	3.13512e-308	25.2	11.9499	0.0397211	96.6005	-776.747	24.863	30.0476	30.0586	30.8552	203
DATA	2015-12-02	04:06:00:000	3.13512e-308	25.2	11.9492	0.139024	96.6171	-778.534	24.8821	30.0579	30.06	31.0477	 89
DATA	2015-12-02	04:07:00:000	3.13512e-308	25.2	11.9494	0.0794423	96.4995	-766.221	24.8185	30.0469	30.0607	31.0315	247
DATA	2015-12-02	04:08:00:000	3.13512e-308	25.2	11.949	0.0595817	96.2828	-771.583	24.7219	30.0465	30.0614	30.7944	207
DATA	2015-12-02	04:09:00:000	3.13512e-308	25.2	11.9449	0.0794423	96.2351	-770.987	24.701	30.05	30.0631	30.764	 31
DATA	2015-12-02	04:10:00:000	3.13512e-308	25.2	11.9492	0.0993028	96.3348	-793.827	24.6692	30.0293	30.0627	30.9079	  1
DATA	2015-12-02	04:11:00:000	3.13512e-308	25.2	11.9449	0.0198606	96.61	-769.001	24.7556	30.0472	30.0645	30.8896	144
DATA	2015-12-02	04:12:00:000	3.13512e-308	25.2	11.9494	0.0397211	96.6107	-776.35	24.7988	30.0348	30.0652	30.8593	201
DATA	2015-12-02	04:13:00:000	3.13512e-308	25.2	11.9453	0.119163	96.6933	-808.126	24.8065	30.0293	30.0672	31.07	 74
DATA	2015-12-02	04:14:00:000	3.13512e-308	25.2	11.9494	0.0993028	96.6437	-783.5	24.8122	30.0289	30.0683	31.2402	137
DATA	2015-12-02	04:15:00:000	3.13512e-308	25.2	11.9494	0.0794423	96.7117	-761.057	24.856	30.0317	30.071	31.0011	118
DATA	2015-12-02	04:16:00:000	3.13512e-308	25.2	11.9492	0.139024	96.5897	-754.105	24.802	30.0365	30.0731	30.8815	132
DATA	2015-12-02	04:17:00:000	3.13512e-308	25.2	11.9453	0.119163	96.5637	-770.59	24.776	30.0421	30.0731	30.9079	 88
DATA	2015-12-02	04:18:00:000	3.13512e-308	25	11.9492	0.119163	96.6717	-797.998	24.823	30.0434	30.0724	31.0234	 49
DATA	2015-12-02	04:19:00:000	3.13512e-308	25.2	11.9492	0.0397211	96.6158	-816.071	24.802	30.0445	30.0728	31.2686	185
DATA	2015-12-02	04:20:00:000	3.13512e-308	25.2	11.9492	0.0993028	96.5782	-735.635	24.7893	30.0465	30.0731	31.1105	239
DATA	2015-12-02	04:21:00:000	3.13512e-308	25.2	11.9483	0.139024	96.6863	-752.12	24.8103	30.0441	30.0745	31.2706	113
DATA	2015-12-02	04:22:00:000	3.13512e-308	25.2	11.9492	-0.119163	96.5522	-700.681	24.7671	30.041	30.0735	31.2767	168
DATA	2015-12-02	04:23:00:000	3.13512e-308	25.2	11.9492	0.0794423	96.4207	-677.841	24.7105	30.0338	30.0752	31.1207	226
DATA	2015-12-02	04:24:00:000	3.13512e-308	25.2	11.9492	0.0397211	96.5357	-668.904	24.7512	30.0386	30.0755	30.9119	245
DATA	2015-12-02	04:25:00:000	3.13512e-308	25.2	11.9492	0.0198606	96.3984	-689.559	24.6991	30.0362	30.0748	30.9809	 22
DATA	2015-12-02	04:26:00:000	3.13512e-308	25.2	11.9494	0.0595817	96.3298	-663.145	24.6584	30.0365	30.0762	31.1916	  0
DATA	2015-12-02	04:27:00:000	3.13512e-308	25.2	11.9451	0.0595817	96.3292	-662.35	24.6622	30.0324	30.0769	31.2727	189
DATA	2015-12-02	04:28:00:000	3.13512e-308	25.2	11.9501	0.158885	96.3603	-613.096	24.6406	30.0383	30.0772	31.1105	173
DATA	2015-12-02	04:29:00:000	3.13512e-308	25.2	11.9481	0.0794423	96.5103	-603.96	24.7181	30.0327	30.0772	31.0335	174
