Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	11:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	11:30:00:000	3.13512e-308	30	11.946	738.376	81.0248	9659.98	27.8793	30.2785	30.0593	37.4659	244
DATA	2015-12-01	11:31:00:000	3.13512e-308	30	11.952	737.502	80.4756	10212.9	27.8736	30.243	30.0372	37.3281	129
DATA	2015-12-01	11:32:00:000	3.13512e-308	30	11.9504	740.184	80.9625	9836.94	27.9581	30.3918	30.0327	37.3828	 14
DATA	2015-12-01	11:33:00:000	3.13512e-308	30	11.9515	744.99	80.8748	9778.95	27.9905	30.4256	30.0514	37.4457	238
DATA	2015-12-01	11:34:00:000	3.13512e-308	30	11.9478	741.216	80.5583	9955.91	27.9689	30.5035	30.0427	37.6706	 21
DATA	2015-12-01	11:35:00:000	3.13512e-308	30	11.9517	741.395	79.4842	9826.21	27.9975	30.4225	30.0234	37.6483	 15
DATA	2015-12-01	11:36:00:000	3.13512e-308	30	11.9472	736.171	79.0858	9706.66	27.9772	30.4371	30.0431	37.5977	 24
DATA	2015-12-01	11:37:00:000	3.13512e-308	30	11.9504	741.018	79.6514	10052	28.0738	30.3863	30.0255	37.6888	153
DATA	2015-12-01	11:38:00:000	3.13512e-308	30	11.9458	734.046	78.8232	9842.5	28.2136	30.2274	30.071	37.7314	151
DATA	2015-12-01	11:39:00:000	3.13512e-308	30	11.9504	735.417	79.1029	9664.55	28.2104	30.3379	30.0669	37.549	218
DATA	2015-12-01	11:40:00:000	3.13512e-308	30	11.9476	737.959	78.4877	9600.2	28.1557	30.4805	30.051	37.4518	169
DATA	2015-12-01	11:41:00:000	3.13512e-308	30	11.951	738.833	78.2208	9498.71	28.1869	30.4648	30.0669	37.5267	234
DATA	2015-12-01	11:42:00:000	3.13512e-308	30	11.9478	745.01	78.6873	9749.55	28.3572	30.3978	30.1353	37.697	189
DATA	2015-12-01	11:43:00:000	3.13512e-308	30.3	11.9515	756.41	77.8687	10103.3	28.4761	30.505	30.1353	37.7253	237
DATA	2015-12-01	11:44:00:000	3.13512e-308	30	11.9478	762.546	77.1162	10213.7	28.6553	30.6412	30.1052	37.9422	239
DATA	2015-12-01	11:45:00:000	3.13512e-308	30.3	11.952	766.002	76.6707	10151.9	28.5733	30.6289	30.1007	37.9908	 44
DATA	2015-12-01	11:46:00:000	3.13512e-308	30.3	11.949	768.683	76.2042	10047.5	28.4926	30.5249	30.1647	37.9807	 62
DATA	2015-12-01	11:47:00:000	3.13512e-308	30.3	11.951	766.816	77.514	10130.1	28.4335	30.5648	30.2212	38.1084	228
DATA	2015-12-01	11:48:00:000	3.13512e-308	30.3	11.9472	764.175	76.7857	10097.1	28.3184	30.5883	30.1786	38.0861	119
DATA	2015-12-01	11:49:00:000	3.13512e-308	30.3	11.9508	768.346	78.3345	9868.72	28.3369	30.5406	30.1304	38.0962	120
DATA	2015-12-01	11:50:00:000	3.13512e-308	30.3	11.9478	770.034	76.9421	10100.5	28.2682	30.514	30.1177	38.0861	 21
DATA	2015-12-01	11:51:00:000	3.13512e-308	30.3	11.951	760.362	77.4797	9895.13	28.2231	30.5441	30.1132	38.1306	 32
DATA	2015-12-01	11:52:00:000	3.13512e-308	30.3	11.9476	758.416	77.7772	9833.76	28.2218	30.5875	30.1395	38.0192	125
DATA	2015-12-01	11:53:00:000	3.13512e-308	30.3	11.952	753.033	77.617	9759.09	28.2193	30.6282	30.1018	38.1732	248
DATA	2015-12-01	11:54:00:000	3.13512e-308	30.3	11.9469	739.568	78.079	9601.59	28.1761	30.5113	30.1059	38.0091	 58
DATA	2015-12-01	11:55:00:000	3.13512e-308	30.3	11.951	712.597	77.8185	9402.39	28.2733	30.3476	30.1429	37.9989	 76
DATA	2015-12-01	11:56:00:000	3.13512e-308	30.3	11.951	676.689	77.835	8978.56	28.3489	30.4642	30.1311	37.9787	 41
DATA	2015-12-01	11:57:00:000	3.13512e-308	30.3	11.9524	708.029	77.3685	8494.96	28.4862	30.3873	30.1388	37.8287	139
DATA	2015-12-01	11:58:00:000	3.13512e-308	30.6	11.9462	782.328	76.5557	9794.84	28.3953	30.3943	30.1242	37.7233	125
DATA	2015-12-01	11:59:00:000	3.13512e-308	30.6	11.9515	740.958	76.8353	9615.09	28.2288	30.4619	30.126	37.774	 22
