Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	22:00:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	22:00:00:000	3.13512e-308	25.5	11.9488	-0.397211	97.2246	-554.904	24.4169	30.3441	30.4162	31.3274	225
DATA	2015-12-01	22:01:00:000	3.13512e-308	25.2	11.9483	-0.436933	97.196	-550.932	24.4048	30.3563	30.4201	31.3254	167
DATA	2015-12-01	22:02:00:000	3.13512e-308	25.2	11.9483	-0.476654	97.196	-553.911	24.4042	30.3299	30.4173	31.2484	184
DATA	2015-12-01	22:03:00:000	3.13512e-308	25.2	11.9517	-0.35749	97.0499	-558.876	24.3482	30.3344	30.4176	31.3031	190
DATA	2015-12-01	22:04:00:000	3.13512e-308	25.2	11.9497	-0.377351	97.0797	-548.152	24.3165	30.3156	30.4134	31.2848	239
DATA	2015-12-01	22:05:00:000	3.13512e-308	25.2	11.9467	-0.436933	97.0391	-547.754	24.2586	30.3358	30.4023	31.2848	243
DATA	2015-12-01	22:06:00:000	3.13512e-308	25.2	11.9494	-0.436933	97.1032	-559.869	24.2624	30.3264	30.4096	31.2767	246
DATA	2015-12-01	22:07:00:000	3.13512e-308	25.2	11.9501	-0.456793	97.2202	-561.855	24.3368	30.3135	30.4086	31.2423	221
DATA	2015-12-01	22:08:00:000	3.13512e-308	25.2	11.9497	-0.436933	97.3505	-546.364	24.4188	30.3222	30.4075	31.3862	239
DATA	2015-12-01	22:09:00:000	3.13512e-308	25.2	11.9478	-0.377351	97.2875	-550.138	24.3991	30.3319	30.4058	31.3355	246
DATA	2015-12-01	22:10:00:000	3.13512e-308	25.2	11.9485	-0.436933	97.2901	-544.577	24.4131	30.3187	30.4086	31.3416	227
DATA	2015-12-01	22:11:00:000	3.13512e-308	25.2	11.9508	-0.35749	97.4426	-541.796	24.5179	30.3399	30.4023	31.453	139
DATA	2015-12-01	22:12:00:000	3.13512e-308	25.2	11.9499	-0.417072	97.4865	-535.043	24.5459	30.3135	30.4033	31.3456	229
DATA	2015-12-01	22:13:00:000	3.13512e-308	25.2	11.9465	-0.476654	97.4865	-530.079	24.5688	30.3292	30.4023	31.3254	241
DATA	2015-12-01	22:14:00:000	3.13512e-308	25.2	11.9488	-0.35749	97.3498	-538.221	24.5109	30.3232	30.4047	31.3375	185
DATA	2015-12-01	22:15:00:000	3.13512e-308	25.2	11.951	-0.476654	97.3397	-536.235	24.5351	30.3239	30.4072	31.3152	174
DATA	2015-12-01	22:16:00:000	3.13512e-308	25.2	11.9442	-0.476654	97.3358	-538.817	24.5332	30.3	30.4106	31.4996	 88
DATA	2015-12-01	22:17:00:000	3.13512e-308	25.2	11.9513	-0.417072	97.4267	-533.852	24.6018	30.2913	30.4068	31.4064	222
DATA	2015-12-01	22:18:00:000	3.13512e-308	25.2	11.9446	-0.476654	97.4413	-536.831	24.6469	30.2816	30.4068	31.4794	254
DATA	2015-12-01	22:19:00:000	3.13512e-308	25.2	11.951	-0.35749	97.4343	-526.901	24.6641	30.268	30.3984	31.4449	 92
DATA	2015-12-01	22:20:00:000	3.13512e-308	25.2	11.9446	-0.556096	97.4121	-525.908	24.6597	30.2486	30.3849	31.4105	242
DATA	2015-12-01	22:21:00:000	3.13512e-308	25.2	11.9504	-0.476654	97.4744	-525.709	24.6997	30.2368	30.3573	31.4449	  1
DATA	2015-12-01	22:22:00:000	3.13512e-308	25.2	11.9442	-0.417072	97.4661	-518.361	24.7232	30.2326	30.3601	31.5706	208
DATA	2015-12-01	22:23:00:000	3.13512e-308	25.2	11.9504	-0.476654	97.4401	-521.737	24.701	30.2253	30.3539	31.4632	164
DATA	2015-12-01	22:24:00:000	3.13512e-308	25.2	11.9494	-0.397211	97.4197	-522.929	24.6844	30.198	30.3514	31.5949	205
DATA	2015-12-01	22:25:00:000	3.13512e-308	25.2	11.9494	-0.35749	97.4572	-515.779	24.72	30.1758	30.333	31.678	  1
DATA	2015-12-01	22:26:00:000	3.13512e-308	25.2	11.949	-0.377351	97.4731	-517.566	24.7645	30.1907	30.2951	31.6841	196
DATA	2015-12-01	22:27:00:000	3.13512e-308	25.2	11.9492	-0.35749	97.4801	-508.033	24.7524	30.276	30.3062	31.6253	125
DATA	2015-12-01	22:28:00:000	3.13512e-308	25.2	11.949	-0.297909	97.4935	-503.664	24.7785	30.1969	30.2923	31.5726	221
DATA	2015-12-01	22:29:00:000	3.13512e-308	25.2	11.946	-0.139024	97.4324	-515.183	24.7601	30.1869	30.2666	31.7185	184
