Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	01:00:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	01:00:00:000	3.13512e-308	26.6	11.9472	0.0993028	92.6087	-544.775	25.6867	29.7358	29.7638	36.2723	 28
DATA	2015-12-01	01:01:00:000	3.13512e-308	26.6	11.9515	0.0993028	92.6169	-554.11	25.6816	29.7317	29.7601	36.3027	197
DATA	2015-12-01	01:02:00:000	3.13512e-308	26.6	11.9504	0.119163	92.6595	-561.657	25.6632	29.742	29.7597	36.2763	166
DATA	2015-12-01	01:03:00:000	3.13512e-308	26.4	11.9513	0.0993028	92.8127	-532.263	25.7083	29.7437	29.7618	36.2338	  0
DATA	2015-12-01	01:04:00:000	3.13512e-308	26.6	11.9517	0.0794423	92.549	-530.277	25.6911	29.7478	29.7635	36.1608	218
DATA	2015-12-01	01:05:00:000	3.13512e-308	26.6	11.9506	0.139024	92.446	-553.712	25.667	29.7454	29.7642	36.2256	100
DATA	2015-12-01	01:06:00:000	3.13512e-308	26.4	11.9513	0.139024	92.6354	-569.8	25.6816	29.7433	29.7638	36.3169	114
DATA	2015-12-01	01:07:00:000	3.13512e-308	26.4	11.9513	0.0595817	92.7949	-563.246	25.6905	29.7368	29.7628	36.2844	 32
DATA	2015-12-01	01:08:00:000	3.13512e-308	26.4	11.9485	0.158885	93.1343	-553.117	25.7064	29.7361	29.7597	36.3898	233
DATA	2015-12-01	01:09:00:000	3.13512e-308	26.6	11.952	0.119163	93.243	-529.88	25.6898	29.7413	29.757	36.3837	 24
DATA	2015-12-01	01:10:00:000	3.13512e-308	26.4	11.9469	0.0993028	92.6716	-513.396	25.6358	29.7382	29.7574	36.3797	 30
DATA	2015-12-01	01:11:00:000	3.13512e-308	26.4	11.9469	0.158885	93.1438	-563.047	25.707	29.744	29.7597	36.406	 70
DATA	2015-12-01	01:12:00:000	3.13512e-308	26.6	11.9469	0.0794423	92.7288	-501.281	25.7661	29.744	29.7597	36.4364	224
DATA	2015-12-01	01:13:00:000	3.13512e-308	26.4	11.9513	0.0794423	91.2671	-562.65	25.7858	29.7471	29.7601	36.4668	215
DATA	2015-12-01	01:14:00:000	3.13512e-308	26.6	11.9483	0.0595817	91.1215	-575.36	25.8977	29.7471	29.7618	36.481	177
DATA	2015-12-01	01:15:00:000	3.13512e-308	26.4	11.9469	0.0794423	90.1702	-570.197	25.9174	29.7505	29.7638	36.5357	 14
DATA	2015-12-01	01:16:00:000	3.13512e-308	26.4	11.9465	0.0993028	90.6398	-582.709	26.0235	29.7519	29.7645	36.5742	 22
DATA	2015-12-01	01:17:00:000	3.13512e-308	26.4	11.946	0.119163	91.7513	-609.124	26.1436	29.7533	29.7666	36.4851	153
DATA	2015-12-01	01:18:00:000	3.13512e-308	26.4	11.9476	0.119163	92.446	-564.239	26.1481	29.7546	29.7679	36.4364	174
DATA	2015-12-01	01:19:00:000	3.13512e-308	26.6	11.9465	0.139024	92.6703	-534.845	26.1932	29.757	29.7686	36.3817	173
DATA	2015-12-01	01:20:00:000	3.13512e-308	26.6	11.9474	0.198606	92.5178	-559.472	26.1557	29.7577	29.7703	36.3939	237
DATA	2015-12-01	01:21:00:000	3.13512e-308	26.4	11.9504	0.0595817	92.3615	-581.12	26.0991	29.7574	29.7717	36.3675	214
DATA	2015-12-01	01:22:00:000	3.13512e-308	26.4	11.9469	0.158885	92.5153	-558.876	26.1138	29.755	29.7727	36.3108	178
DATA	2015-12-01	01:23:00:000	3.13512e-308	26.6	11.9504	0.0595817	92.7002	-589.263	26.1055	29.7577	29.7738	36.2723	 11
DATA	2015-12-01	01:24:00:000	3.13512e-308	26.6	11.9469	0.0993028	92.7726	-601.775	26.0921	29.7642	29.7758	36.2642	 20
DATA	2015-12-01	01:25:00:000	3.13512e-308	26.6	11.9501	0.0595817	92.6322	-580.921	26.0648	29.7614	29.7762	36.2642	  2
DATA	2015-12-01	01:26:00:000	3.13512e-308	26.4	11.9469	0.0993028	92.1696	-567.019	26.0229	29.7635	29.7775	36.3128	 24
DATA	2015-12-01	01:27:00:000	3.13512e-308	26.4	11.9469	0.119163	91.9655	-578.538	25.9739	29.7693	29.7792	36.3756	  1
DATA	2015-12-01	01:28:00:000	3.13512e-308	26.6	11.9476	0.119163	91.717	-567.019	25.9663	29.77	29.782	36.3331	 14
DATA	2015-12-01	01:29:00:000	3.13512e-308	26.6	11.9492	0.178745	91.4711	-594.625	25.9129	29.769	29.7847	36.4222	183
