Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	21:00:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	21:00:00:000	2.85604e-308	27.8	11.9407	-0.238327	88.6321	-46.4387	26.9317	30.3226	30.317	36.5459	201
DATA	2015-12-02	21:01:00:000	2.85604e-308	27.8	11.9348	-0.238327	89.1177	-49.0381	27.0016	30.2975	30.3215	36.4911	242
DATA	2015-12-02	21:02:00:000	2.85604e-308	27.8	11.9389	-0.278048	89.935	-45.6209	27.0042	30.2961	30.3246	36.4384	208
DATA	2015-12-02	21:03:00:000	2.85604e-308	27.8	11.935	-0.238327	90.3958	-42.9193	27.0118	30.3135	30.3309	36.4405	187
DATA	2015-12-02	21:04:00:000	2.85604e-308	27.8	11.9382	-0.258187	90.2744	-44.0145	26.973	30.3125	30.3326	36.4364	191
DATA	2015-12-02	21:05:00:000	2.85604e-308	27.8	11.9355	-0.198606	90.2527	-38.3484	26.9953	30.2996	30.3344	36.4344	 14
DATA	2015-12-02	21:06:00:000	2.85604e-308	27.8	11.9385	-0.238327	90.1841	-38.0417	26.9864	30.2909	30.3309	36.4304	252
DATA	2015-12-02	21:07:00:000	2.85604e-308	27.5	11.9334	-0.297909	90.4129	-38.3338	26.9419	30.2718	30.3243	36.4324	255
DATA	2015-12-02	21:08:00:000	2.85604e-308	27.8	11.9371	-0.238327	90.3417	-38.8157	26.9577	30.2593	30.3187	36.4304	  7
DATA	2015-12-02	21:09:00:000	2.85604e-308	27.8	11.9352	-0.297909	90.1263	-39.911	26.9527	30.2572	30.3118	36.4709	209
DATA	2015-12-02	21:10:00:000	2.85604e-308	27.8	11.9385	-0.238327	89.8212	-40.9916	26.9196	30.2572	30.3114	36.3736	  0
DATA	2015-12-02	21:11:00:000	2.85604e-308	27.8	11.9348	-0.218466	89.5823	-42.2621	26.9228	30.2625	30.3083	36.5074	248
DATA	2015-12-02	21:12:00:000	2.85604e-308	27.5	11.9371	-0.258187	90.1346	-40.2322	26.9203	30.259	30.3069	36.325	126
DATA	2015-12-02	21:13:00:000	2.85604e-308	27.5	11.9348	-0.218466	89.7195	-40.4221	26.7811	30.2562	30.3059	36.3837	251
DATA	2015-12-02	21:14:00:000	2.85604e-308	27.5	11.9364	-0.35749	90.1619	-38.5383	26.79	30.2427	30.3052	36.4405	 95
DATA	2015-12-02	21:15:00:000	2.85604e-308	27.8	11.9371	-0.278048	89.6706	-36.0995	26.8027	30.2527	30.3034	36.3351	255
DATA	2015-12-02	21:16:00:000	2.85604e-308	27.5	11.9352	-0.218466	89.67	-39.9986	26.9279	30.2506	30.3006	36.4871	174
DATA	2015-12-02	21:17:00:000	2.85604e-308	27.8	11.9371	-0.218466	90.0303	-36.3916	26.9469	30.2434	30.2965	36.4182	253
DATA	2015-12-02	21:18:00:000	2.85604e-308	27.8	11.9346	-0.238327	89.4196	-40.4513	26.9438	30.226	30.2927	36.5499	220
DATA	2015-12-02	21:19:00:000	2.85604e-308	27.8	11.9366	-0.238327	89.8009	-32.9014	27.02	30.2298	30.2857	36.4384	158
DATA	2015-12-02	21:20:00:000	2.85604e-308	27.8	11.9346	-0.198606	88.772	-38.3922	27.02	30.2298	30.2809	36.4182	104
DATA	2015-12-02	21:21:00:000	2.85604e-308	27.8	11.9355	-0.218466	88.7707	-37.224	27.0969	30.2246	30.2711	36.3777	210
DATA	2015-12-02	21:22:00:000	2.85604e-308	27.8	11.9343	-0.178745	87.8314	-38.7573	27.1306	30.2177	30.2593	36.6067	  6
DATA	2015-12-02	21:23:00:000	2.85604e-308	27.5	11.9359	-0.238327	87.1552	-38.5967	27.2698	30.2246	30.2558	36.712	218
DATA	2015-12-02	21:24:00:000	2.85604e-308	27.8	11.9343	-0.198606	86.6734	-36.1287	27.3912	30.2333	30.2617	36.7627	  2
DATA	2015-12-02	21:25:00:000	2.85604e-308	27.5	11.935	-0.238327	86.7078	-33.8214	27.4541	30.2465	30.2725	36.708	147
DATA	2015-12-02	21:26:00:000	2.85604e-308	27.5	11.935	-0.139024	86.3162	-32.3318	27.496	30.244	30.2802	36.7688	 91
DATA	2015-12-02	21:27:00:000	2.85604e-308	27.8	11.9346	-0.238327	85.5695	-31.7623	27.5685	30.2586	30.285	36.8742	227
DATA	2015-12-02	21:28:00:000	2.85604e-308	27.8	11.9346	-0.258187	86.1428	-29.2943	27.6638	30.2579	30.2902	36.7465	 24
DATA	2015-12-02	21:29:00:000	2.85604e-308	27.5	11.9341	-0.158885	85.0738	-29.8493	27.6581	30.2271	30.2937	36.8255	 21
