Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	00:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	00:30:00:000	3.13512e-308	25.5	11.9474	-0.377351	96.788	-624.019	24.6133	30.2427	30.2621	31.3781	175
DATA	2015-12-02	00:31:00:000	3.13512e-308	25.5	11.9474	-0.35749	96.8497	-639.51	24.6526	30.2413	30.2607	31.3821	137
DATA	2015-12-02	00:32:00:000	3.13512e-308	25.5	11.9499	-0.33763	96.8281	-654.803	24.6418	30.2493	30.2617	31.447	142
DATA	2015-12-02	00:33:00:000	3.13512e-308	25.5	11.9462	-0.317769	96.8007	-689.956	24.631	30.2448	30.2617	31.3578	204
DATA	2015-12-02	00:34:00:000	3.13512e-308	25.5	11.9504	-0.33763	96.7721	-712.796	24.6323	30.2541	30.2652	31.3152	167
DATA	2015-12-02	00:35:00:000	3.13512e-308	25.5	11.9494	-0.278048	96.7784	-749.935	24.6126	30.2569	30.2687	31.4652	 14
DATA	2015-12-02	00:36:00:000	3.13512e-308	25.5	11.9522	-0.278048	96.7549	-719.747	24.6063	30.2503	30.268	31.3882	197
DATA	2015-12-02	00:37:00:000	3.13512e-308	25.5	11.9483	-0.278048	96.6508	-736.827	24.5465	30.2489	30.2694	31.3355	  6
DATA	2015-12-02	00:38:00:000	3.13512e-308	25.5	11.9506	-0.278048	96.6806	-758.078	24.5211	30.251	30.2694	31.449	141
DATA	2015-12-02	00:39:00:000	3.13512e-308	25.5	11.9497	-0.33763	96.8357	-740.601	24.5618	30.252	30.2701	31.3639	135
DATA	2015-12-02	00:40:00:000	3.13512e-308	25.5	11.9401	-0.297909	96.9335	-750.928	24.5967	30.2538	30.2711	31.3477	249
DATA	2015-12-02	00:41:00:000	3.13512e-308	25.5	11.938	-0.317769	97.0085	-761.653	24.6329	30.2531	30.2704	31.4206	175
DATA	2015-12-02	00:42:00:000	3.13512e-308	25.5	11.9398	-0.297909	97.0511	-745.963	24.6673	30.2534	30.2722	31.4774	251
DATA	2015-12-02	00:43:00:000	3.13512e-308	25.5	11.9504	-0.278048	96.9501	-733.848	24.6291	30.2461	30.2715	31.3578	238
DATA	2015-12-02	00:44:00:000	3.13512e-308	25.5	11.9499	-0.258187	96.8389	-742.984	24.5503	30.2565	30.2742	31.3598	 14
DATA	2015-12-02	00:45:00:000	3.13512e-308	25.5	11.9501	-0.258187	96.9907	-728.684	24.6107	30.2586	30.2763	31.2747	255
DATA	2015-12-02	00:46:00:000	3.13512e-308	25.5	11.9476	-0.297909	96.9742	-730.273	24.6069	30.2517	30.2756	31.2018	250
DATA	2015-12-02	00:47:00:000	3.13512e-308	25.5	11.9499	-0.317769	96.978	-721.932	24.6031	30.2506	30.2746	31.1876	206
DATA	2015-12-02	00:48:00:000	3.13512e-308	25.5	11.9506	-0.258187	96.9939	-728.287	24.6361	30.2392	30.2739	31.1187	  8
DATA	2015-12-02	00:49:00:000	3.13512e-308	25.5	11.9499	-0.238327	96.9393	-730.869	24.5929	30.2475	30.2722	31.0193	  6
DATA	2015-12-02	00:50:00:000	3.13512e-308	25.5	11.9483	-0.278048	96.8929	-738.019	24.5522	30.2506	30.2722	31.1592	238
DATA	2015-12-02	00:51:00:000	3.13512e-308	25.5	11.9499	-0.278048	96.9151	-736.033	24.5478	30.2479	30.2722	31.0538	246
DATA	2015-12-02	00:52:00:000	3.13512e-308	25.2	11.952	-0.278048	96.9342	-750.729	24.5599	30.2402	30.2711	31.1227	175
DATA	2015-12-02	00:53:00:000	3.13512e-308	25.2	11.9492	-0.258187	96.8763	-756.092	24.5205	30.244	30.2697	31.1105	185
DATA	2015-12-02	00:54:00:000	3.13512e-308	25.5	11.9508	-0.278048	96.9323	-789.656	24.5287	30.2486	30.2725	31.2565	  5
DATA	2015-12-02	00:55:00:000	3.13512e-308	25.2	11.9504	-0.278048	97.0663	-782.308	24.57	30.2548	30.2729	31.372	 84
DATA	2015-12-02	00:56:00:000	3.13512e-308	25.5	11.9522	-0.397211	97.1083	-743.58	24.6056	30.2118	30.2753	31.3943	176
DATA	2015-12-02	00:57:00:000	3.13512e-308	25.2	11.9501	-0.297909	97.1331	-744.175	24.6152	30.2395	30.2746	31.3497	239
DATA	2015-12-02	00:58:00:000	3.13512e-308	25.2	11.9526	-0.278048	97.0911	-754.105	24.598	30.259	30.2736	31.3355	138
DATA	2015-12-02	00:59:00:000	3.13512e-308	25.2	11.9499	-0.278048	97.0918	-729.28	24.6329	30.267	30.2725	31.1774	159
