Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	04:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-02	04:30:00:000	3.13512e-308	25.2	11.9504	0.0595817	96.5058	-572.978	24.6819	30.0417	30.0772	31.0457	251
DATA	2015-12-02	04:31:00:000	3.13512e-308	25.2	11.9444	-0.0595817	96.5084	-529.284	24.6902	30.0383	30.0772	30.995	244
DATA	2015-12-02	04:32:00:000	3.13512e-308	25.2	11.9462	0.0397211	96.5128	-549.145	24.72	30.0438	30.0786	30.993	 85
DATA	2015-12-02	04:33:00:000	3.13512e-308	25.2	11.9446	0.0794423	96.5268	-580.127	24.7118	30.04	30.08	31.0376	 26
DATA	2015-12-02	04:34:00:000	3.13512e-308	25.2	11.9462	-0.198606	96.5566	-550.336	24.7219	30.0434	30.0779	30.9363	243
DATA	2015-12-02	04:35:00:000	3.13512e-308	25.2	11.9497	0.119163	96.5452	-586.681	24.7512	30.0379	30.0804	31.0558	195
DATA	2015-12-02	04:36:00:000	3.13512e-308	25.2	11.951	0	96.272	-587.277	24.6794	30.0417	30.0814	31.1045	237
DATA	2015-12-02	04:37:00:000	3.13512e-308	25.2	11.9494	0.119163	96.3495	-590.455	24.7219	30.05	30.0831	30.9687	 98
DATA	2015-12-02	04:38:00:000	3.13512e-308	25.2	11.9515	0.0397211	96.3895	-617.664	24.7683	30.0555	30.0848	30.8248	  4
DATA	2015-12-02	04:39:00:000	3.13512e-308	25.2	11.9497	-0.317769	96.427	-635.737	24.8109	30.0558	30.0855	31.0315	201
DATA	2015-12-02	04:40:00:000	3.13512e-308	25.2	11.9513	-0.178745	96.4651	-657.385	24.8617	30.0524	30.0845	30.9586	249
DATA	2015-12-02	04:41:00:000	3.13512e-308	25.2	11.9504	-0.218466	96.3228	-653.413	24.8217	30.05	30.0831	30.9829	121
DATA	2015-12-02	04:42:00:000	3.13512e-308	25.2	11.9513	-0.218466	96.3514	-689.757	24.8274	30.0355	30.0821	30.9525	239
DATA	2015-12-02	04:43:00:000	3.13512e-308	25.2	11.9513	-0.218466	96.3348	-691.942	24.8242	30.0293	30.0824	30.9687	242
DATA	2015-12-02	04:44:00:000	3.13512e-308	25.2	11.9465	-0.258187	96.2599	-727.89	24.8293	30.0389	30.0842	31.0315	206
DATA	2015-12-02	04:45:00:000	3.13512e-308	25.2	11.9506	-0.119163	96.3425	-747.949	24.8395	30.0569	30.0859	31.1126	249
DATA	2015-12-02	04:46:00:000	3.13512e-308	25.2	11.9515	0.158885	96.1887	-772.576	24.8757	30.0735	30.0862	31.1977	228
DATA	2015-12-02	04:47:00:000	3.13512e-308	25.2	11.9508	0.0794423	96.2078	-765.625	24.8046	30.0838	30.0855	31.2889	  7
DATA	2015-12-02	04:48:00:000	3.13512e-308	25.2	11.946	0.0595817	96.0508	-828.781	24.7937	30.0721	30.0838	30.8856	217
DATA	2015-12-02	04:49:00:000	3.13512e-308	25.2	11.9515	0.0993028	96.0152	-843.081	24.781	30.0617	30.0817	31.1045	175
DATA	2015-12-02	04:50:00:000	3.13512e-308	25.2	11.9515	0.158885	95.9764	-827.789	24.7499	30.0586	30.0814	31.1835	227
DATA	2015-12-02	04:51:00:000	3.13512e-308	25.2	11.9517	0.0993028	95.8315	-824.213	24.6971	30.0576	30.0797	31.1714	243
DATA	2015-12-02	04:52:00:000	3.13512e-308	25.2	11.9462	0.0993028	96.113	-794.423	24.7709	30.0545	30.0772	31.0335	180
DATA	2015-12-02	04:53:00:000	3.13512e-308	25.2	11.9499	0.139024	96.148	-799.388	24.7594	30.0503	30.0776	30.9363	163
DATA	2015-12-02	04:54:00:000	3.13512e-308	25.2	11.9465	0.0794423	96.1664	-800.381	24.7721	30.0476	30.0772	30.8978	251
DATA	2015-12-02	04:55:00:000	3.13512e-308	25.2	11.9488	0.0595817	96.1938	-792.635	24.7976	30.0458	30.0769	30.8957	 38
DATA	2015-12-02	04:56:00:000	3.13512e-308	25.2	11.9476	0.0794423	96.0444	-819.249	24.7721	30.0445	30.0762	30.9119	246
DATA	2015-12-02	04:57:00:000	3.13512e-308	25.2	11.9515	-0.139024	96.1671	-824.412	24.7995	30.0414	30.0769	31.0214	223
DATA	2015-12-02	04:58:00:000	3.13512e-308	25.2	11.9504	-0.258187	96.0336	-773.966	24.774	30.0414	30.0772	30.8512	190
DATA	2015-12-02	04:59:00:000	3.13512e-308	25.2	11.9508	-0.178745	95.8595	-830.768	24.7219	30.04	30.0752	30.9119	154
