Instrument:	Biomet_Sains
File Type:	2
Software Version:	7.5.0
Timestamp:	00:30:00
Timezone:	Asia/Kuala_Lumpur
DATAH	DATE	TIME	(other)	LOGGERTEMP(C)	LOGGERVIN(V)	RG(W/m^2)	RH(%)	RN(W/m^2)	TA(C)	TS1(C)	TS2(C)	TW(C)	CHK
DATA	2015-12-01	00:30:00:000	3.13512e-308	26.6	11.9467	0.0993028	93.3809	-546.166	25.8437	29.7803	29.8049	36.6654	 24
DATA	2015-12-01	00:31:00:000	3.13512e-308	26.6	11.9513	0.0794423	93.1966	-549.145	25.7369	29.7789	29.8018	36.6148	 27
DATA	2015-12-01	00:32:00:000	3.13512e-308	26.6	11.9469	0.0794423	92.9493	-550.733	25.6924	29.7806	29.7988	36.6695	 43
DATA	2015-12-01	00:33:00:000	3.13512e-308	26.6	11.951	0.158885	93.3008	-584.695	25.7598	29.7847	29.7967	36.6978	212
DATA	2015-12-01	00:34:00:000	3.13512e-308	26.6	11.951	0.119163	93.515	-562.451	25.7388	29.7813	29.7936	36.6816	114
DATA	2015-12-01	00:35:00:000	3.13512e-308	26.6	11.9515	0.0595817	93.5646	-529.483	25.7496	29.7768	29.7919	36.5418	 47
DATA	2015-12-01	00:36:00:000	3.13512e-308	26.6	11.9508	0.0993028	93.5588	-551.329	25.7598	29.7724	29.7885	36.4648	 46
DATA	2015-12-01	00:37:00:000	3.13512e-308	26.6	11.9513	0.0397211	93.3555	-579.134	25.7451	29.7731	29.7851	36.4567	 10
DATA	2015-12-01	00:38:00:000	3.13512e-308	26.6	11.9515	0.119163	93.1229	-541.002	25.7312	29.771	29.7851	36.4283	138
DATA	2015-12-01	00:39:00:000	3.13512e-308	26.6	11.9508	0.178745	92.4905	-576.552	25.625	29.7693	29.7844	36.3067	184
DATA	2015-12-01	00:40:00:000	3.13512e-308	26.6	11.951	0.0993028	92.2414	-608.528	25.5608	29.7621	29.7844	36.3108	201
DATA	2015-12-01	00:41:00:000	3.13512e-308	26.6	11.951	0.119163	92.3018	-586.284	25.5411	29.7454	29.781	36.3148	 94
DATA	2015-12-01	00:42:00:000	3.13512e-308	26.6	11.9465	0.178745	92.3316	-566.423	25.5558	29.7563	29.7796	36.252	176
DATA	2015-12-01	00:43:00:000	3.13512e-308	26.6	11.951	0.0794423	92.2998	-619.649	25.5589	29.757	29.7792	36.327	142
DATA	2015-12-01	00:44:00:000	3.13512e-308	26.6	11.9467	0.0198606	92.8668	-587.078	25.5913	29.7543	29.7782	36.4486	 43
DATA	2015-12-01	00:45:00:000	3.13512e-308	26.6	11.9508	0.0794423	93.2499	-544.577	25.6231	29.7509	29.7789	36.3918	 35
DATA	2015-12-01	00:46:00:000	3.13512e-308	26.6	11.9506	0.0794423	93.2404	-551.131	25.6365	29.745	29.7789	36.3817	213
DATA	2015-12-01	00:47:00:000	3.13512e-308	26.6	11.9508	0.139024	93.4553	-544.775	25.6962	29.7454	29.7741	36.3331	215
DATA	2015-12-01	00:48:00:000	3.13512e-308	26.6	11.952	0.119163	93.541	-565.43	25.7585	29.744	29.7738	36.3716	 14
DATA	2015-12-01	00:49:00:000	3.13512e-308	26.6	11.9513	0.139024	93.5696	-528.688	25.7388	29.7423	29.7748	36.2986	248
DATA	2015-12-01	00:50:00:000	3.13512e-308	26.6	11.951	0.0993028	93.3669	-540.208	25.7121	29.7416	29.7697	36.3027	206
DATA	2015-12-01	00:51:00:000	3.13512e-308	26.6	11.9497	0.0993028	93.1095	-545.769	25.6911	29.743	29.7679	36.25	130
DATA	2015-12-01	00:52:00:000	3.13512e-308	26.6	11.9504	0.0993028	92.5668	-552.918	25.6091	29.7444	29.7679	36.2824	 24
DATA	2015-12-01	00:53:00:000	3.13512e-308	26.6	11.9508	0.139024	92.4594	-570.396	25.6663	29.742	29.769	36.3594	123
DATA	2015-12-01	00:54:00:000	3.13512e-308	26.6	11.9506	0.0595817	92.488	-545.769	25.6136	29.7402	29.7703	36.4162	220
DATA	2015-12-01	00:55:00:000	3.13512e-308	26.6	11.9499	0.0993028	92.5699	-562.252	25.6339	29.7392	29.7697	36.3777	 51
DATA	2015-12-01	00:56:00:000	3.13512e-308	26.6	11.9517	0.0993028	92.7867	-555.699	25.6765	29.7416	29.7679	36.3878	 61
DATA	2015-12-01	00:57:00:000	3.13512e-308	26.6	11.9508	0.0794423	92.8394	-551.131	25.667	29.7457	29.7679	36.3513	227
DATA	2015-12-01	00:58:00:000	3.13512e-308	26.4	11.9517	0.0993028	92.9169	-536.037	25.6956	29.7426	29.7673	36.3615	 29
DATA	2015-12-01	00:59:00:000	3.13512e-308	26.6	11.9513	0.119163	92.7523	-543.583	25.6721	29.7379	29.7666	36.3209	220
